SRR3883426	CDC_B11096
SRR3883427	CDC_B11097
SRR3883428	CDC_B11114
SRR3883429	CDC_B11115
SRR3883430	CDC_B11116
SRR3883431	CDC_B11117
SRR3883432	CDC_B11118
SRR3883433	CDC_B11119
SRR3883434	CDC_B11200
SRR3883435	CDC_B11201
SRR3883436	CDC_B11205
SRR3883437	CDC_B11206
SRR3883438	CDC_B11098
SRR3883439	CDC_B11207
SRR3883440	CDC_B11208
SRR3883441	CDC_B11209
SRR3883442	CDC_B11210
SRR3883443	CDC_B11212
SRR3883444	CDC_B11213
SRR3883445	CDC_B11214
SRR3883446	CDC_B11215
SRR3883447	CDC_B11216
SRR3883448	CDC_B11217
SRR3883449	CDC_B11099
SRR3883450	CDC_B11218
SRR3883451	CDC_B11219
SRR3883452	CDC_B11220
SRR3883453	CDC_B11221
SRR3883454	CDC_B11222
SRR3883455	CDC_B11223
SRR3883456	CDC_B11224
SRR3883457	CDC_B11225
SRR3883458	CDC_B11226
SRR3883459	CDC_B11227
SRR3883460	CDC_B11101
SRR3883461	CDC_B11228
SRR3883462	CDC_B11229
SRR3883463	CDC_B11230
SRR3883464	CDC_B11243
SRR3883465	CDC_B11244
SRR3883466	CDC_B11245
SRR3883467	CDC_B11246
SRR3883468	CDC_B11247
SRR3883470	CDC_B11102
SRR3883471	CDC_B11103
SRR3883472	CDC_B11105
SRR3883473	CDC_B11112
SRR3883474	CDC_B11113
