GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_06821	0.6686	0.4616	0.5128	0.4180	0.4679	0.4590	0.5611	0.4836	0.4626	0.3979	0.5166	0.4227	0.5475	0.4362	0.6304	0.4466	0.4823	0.4379	0.4635	0.4607	0.4177	0.4500	0.4575	0.4885	0.5719	0.4303	0.4158	0.4896	0.3466	0.6062	0.6372	0.5179	0.7085	0.5140	0.4804	0.4247	0.4932	0.5138	0.4783	0.4838	0.5514	0.4793	0.5050	0.4613	0.4785	0.5027	0.4822	0.6239
QG37_06822	0.7690	0.6596	0.6845	0.8399	0.6214	0.5946	0.7297	0.7433	0.7118	0.7347	0.7025	0.7369	0.6452	0.7534	0.7415	0.6733	0.7523	0.7966	0.7924	0.7529	0.7231	0.8242	0.8815	0.6408	0.7271	0.6451	0.9132	0.6507	0.6298	0.5126	0.7077	0.7253	0.8484	0.6973	0.7379	0.7334	0.7842	0.7365	0.6740	0.8431	0.6971	0.8428	0.7141	0.7524	0.7194	0.9103	0.7057	0.8815
QG37_06823	0.8439	0.8470	0.7730	0.9750	0.9123	0.8709	0.9685	0.9315	0.8870	0.8432	0.8491	1.0077	0.7570	0.9262	0.9025	1.0183	0.8290	0.8843	0.8845	0.7505	0.9540	0.8094	0.8973	0.7904	0.9553	0.8398	1.0119	0.7939	0.5929	0.6875	0.9183	0.9629	0.9100	0.9953	0.8263	0.8005	0.9491	0.9394	0.8824	0.8105	0.7846	1.0705	0.8494	0.9041	0.8911	0.9015	0.9055	0.8936
QG37_06824	0.9017	0.7781	0.8655	0.6467	0.7708	0.8404	0.7149	0.8283	0.8892	0.7723	0.8445	0.9084	0.7347	0.7966	0.8603	0.9139	1.0097	0.8495	0.7912	0.8571	0.8827	0.8299	0.9122	0.8299	0.8403	0.8840	0.8235	0.7333	0.7515	0.7102	0.8478	0.7714	0.1086	0.9091	0.6934	0.7258	0.7425	0.8743	0.7865	0.9971	0.9586	0.7445	0.9574	0.9284	0.8659	0.8321	0.8214	0.9900
QG37_06825	0.7094	0.7509	0.6742	0.6245	0.7412	0.7461	0.7510	0.8035	0.7631	0.6587	0.6740	0.7740	0.6982	0.7974	0.8839	0.7399	0.7416	0.7978	0.7108	0.8201	0.8825	0.7764	0.8896	0.7823	0.8444	0.6631	0.7539	0.7320	0.6434	0.6081	0.8188	0.7054	0.5336	0.7969	0.7105	0.8205	0.7121	0.9400	0.7978	0.7582	0.7673	0.9152	0.9450	0.9637	0.8212	0.7950	0.8194	0.7573
QG37_06826	0.5157	0.7526	0.4937	0.5974	0.7507	0.7176	0.5622	0.6452	0.5886	0.5500	0.7153	0.6956	0.6218	0.7632	0.6837	0.7762	0.7080	0.7015	0.7085	0.6854	0.8499	0.6244	0.6578	0.6812	0.6956	0.5134	0.7419	0.5727	0.5917	0.4720	0.6478	0.5019	0.6582	0.6264	0.8649	0.7758	0.5874	0.8012	0.7782	0.6626	0.8071	0.6473	0.6626	0.7359	0.6385	0.7424	0.5858	0.5976
QG37_06827	0.6930	0.6831	0.6913	0.6724	0.6673	0.5984	0.6531	0.6942	0.7507	0.6293	0.6320	0.6360	0.5822	0.6510	0.6078	0.7805	0.6739	0.6627	0.6872	0.9049	0.8117	0.7148	0.6145	0.7412	0.7362	0.6355	0.8419	0.6008	0.7038	0.5820	0.4022	0.6102	0.5090	0.6972	0.8029	0.6788	0.6517	0.8008	0.7343	0.6596	0.6842	0.6460	0.5747	0.6280	0.7149	0.6502	0.5964	0.6962
QG37_06828	0.5529	0.5935	0.6622	0.7336	0.5926	0.5839	0.6420	0.6243	0.8583	0.5287	0.5457	0.5774	0.6146	0.6360	0.5982	0.7119	0.5850	0.5019	0.5727	0.7174	0.6938	0.6544	0.6945	0.6212	0.7081	0.5982	0.7348	0.5491	0.6414	0.4892	0.4027	0.5796	0.4987	0.5680	0.6910	0.5571	0.6181	0.7138	0.6719	0.6816	0.5674	0.6850	0.6832	0.6360	0.6197	0.7256	0.6329	0.6577
QG37_06829	0.7172	0.7537	0.7594	0.6155	0.7207	0.7899	0.7952	0.7176	0.8153	0.8140	0.6779	0.7942	0.6611	1.0039	0.6772	0.7238	0.7403	0.6979	0.7435	0.8053	0.7034	0.7317	0.7920	0.6517	0.8476	0.7170	0.6806	0.6740	0.6435	0.6138	0.7186	0.6830	0.7426	0.7326	0.7650	0.7129	0.7836	0.6232	0.8253	0.7897	0.7261	0.6698	0.9265	0.8498	0.7532	0.8244	0.8695	0.9266
QG37_06830	0.7878	0.6514	0.5666	0.5277	0.5950	0.6345	0.5703	0.5939	0.7467	0.6569	0.6500	0.6681	0.5477	0.7043	0.7058	0.7152	0.6586	0.6725	0.6549	0.7390	0.6595	0.6620	0.7093	0.5743	0.6608	0.5517	0.5711	0.6010	0.5934	0.6814	0.5950	0.5788	0.6586	0.7347	0.6940	0.7022	0.5849	0.7375	0.7545	0.6571	0.7113	0.6559	0.5777	0.6292	0.7636	0.6073	0.7933	0.6550
QG37_06831	0.6439	0.6419	0.7166	0.6467	0.9260	0.8402	0.7741	0.8400	0.7170	0.8522	0.7776	0.5329	0.7362	0.7227	0.9720	0.8350	0.7500	0.9062	0.7081	0.7422	0.8719	0.8449	0.7742	0.8199	0.7834	0.7403	0.7975	0.7453	0.7559	0.8985	0.7385	0.7532	0.7613	0.7431	0.9445	1.0599	0.9065	0.7774	0.8863	0.8332	0.8663	0.8036	0.7666	0.7218	0.8630	0.8417	0.7959	0.8039
QG37_06832	0.8832	0.6770	0.8432	0.7281	0.8199	0.6780	0.8571	0.8841	0.7847	0.7289	0.6712	0.9099	0.8512	0.8067	0.7576	0.7260	0.9770	0.7728	0.7750	0.7400	1.1320	0.8593	0.7677	0.8280	0.8018	0.6916	0.9371	0.7925	0.7630	0.5423	0.8584	0.8879	0.8837	0.7514	0.8482	0.7884	0.8866	0.8408	0.8920	0.6797	0.9727	0.9739	0.7623	0.9294	1.0388	0.7688	0.8258	1.0010
