GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_06557	113.61	104.43	58.51	58.52	96.69	95.04	85.19	103.06	102.02	77.80	77.32	85.38	79.03	87.50	88.50	95.45	115.68	127.28	108.19	87.29	98.79	102.05	111.00	91.36	110.79	115.31	82.50	103.71	94.76	23.16	61.39	108.29	0.80	99.92	94.25	82.52	83.55	100.65	81.16	6.98	111.40	107.24	82.49	70.72	98.69	99.05	91.57	123.52
QG37_06558	112.69	124.33	59.07	73.00	89.25	114.90	88.97	102.84	125.80	100.48	80.09	86.88	82.62	96.35	93.55	110.76	121.41	128.54	120.75	112.20	102.12	111.92	115.21	100.57	110.98	127.75	88.63	102.58	91.22	26.69	75.04	108.24	0.37	114.70	105.00	84.85	99.31	104.94	83.75	7.97	129.54	115.08	84.99	79.87	109.83	116.00	95.03	115.71
QG37_06559	113.30	112.62	73.95	78.65	95.01	113.45	94.82	101.44	121.47	95.49	78.20	75.70	74.67	105.68	101.85	105.71	118.41	133.93	124.92	95.83	110.53	100.97	133.14	101.24	101.67	125.42	72.13	114.54	75.28	27.70	71.77	114.44	0.33	107.97	86.67	85.21	77.38	88.18	89.33	5.21	116.42	88.32	78.67	70.00	95.78	110.13	81.69	143.95
QG37_06560	83.96	96.93	66.17	57.96	104.00	88.07	90.35	93.53	108.96	85.15	72.41	84.40	83.53	92.90	90.69	83.99	128.51	149.81	113.61	104.01	97.88	106.14	127.09	79.89	110.92	114.77	82.68	116.91	88.39	26.53	62.08	99.39	0.00	108.77	98.24	82.06	85.90	96.91	73.59	8.08	110.42	105.53	78.64	74.77	88.69	101.31	85.07	112.93
QG37_06561	117.92	118.26	62.06	57.35	91.18	90.75	94.23	93.10	109.44	88.95	61.59	72.80	83.99	94.37	108.08	116.19	125.80	138.02	114.09	102.13	104.03	100.82	110.60	91.98	110.85	127.71	78.41	106.63	76.63	23.45	55.28	95.72	77.69	103.79	106.48	80.14	88.10	101.77	77.81	4.88	115.81	106.04	82.05	82.89	90.72	101.66	96.43	108.24
QG37_06562	97.89	94.41	75.60	71.78	96.27	95.77	93.09	109.84	99.48	78.66	66.32	71.71	79.81	113.43	96.38	90.50	110.88	133.54	117.08	86.97	105.27	125.61	129.25	95.14	95.17	124.70	83.62	85.61	74.93	27.49	55.64	93.62	127.04	92.10	90.31	77.42	87.84	104.05	87.30	2.88	95.46	104.40	85.57	62.28	85.24	105.65	76.17	117.85
QG37_06563	104.82	94.40	58.25	58.73	85.40	94.70	91.31	91.13	110.73	75.99	72.08	83.78	67.26	93.95	86.22	87.90	119.40	114.87	113.34	86.93	93.64	101.11	111.31	89.03	105.12	114.00	78.01	102.57	82.24	26.29	57.75	94.46	100.36	89.95	84.05	77.08	77.14	89.02	68.26	6.35	115.41	100.68	80.67	79.09	100.17	103.73	89.23	115.84
QG37_06564	128.54	116.59	68.18	83.28	100.91	104.03	119.95	116.21	131.26	111.26	93.55	102.00	105.59	131.83	111.23	134.71	154.48	157.74	145.12	116.27	135.28	131.03	140.89	116.56	122.95	145.59	107.54	121.74	99.60	27.69	77.62	121.44	126.66	115.05	133.09	109.80	120.86	141.19	101.83	7.82	151.32	123.68	105.95	104.38	121.94	119.15	119.04	155.42
QG37_06565	124.39	143.54	91.74	91.08	125.85	116.03	100.19	119.62	130.94	121.16	83.56	120.58	115.34	124.60	116.81	133.87	169.77	169.30	155.16	134.28	128.87	143.26	137.47	108.19	125.57	158.12	126.09	150.09	117.20	30.76	80.03	149.64	156.73	146.71	142.22	103.25	118.59	136.67	101.61	6.14	172.76	144.56	116.91	96.27	132.74	105.15	97.43	156.56
QG37_06566	117.98	121.78	70.50	74.63	90.09	117.51	111.30	102.99	122.87	106.77	80.65	104.18	98.58	85.19	108.18	117.37	143.67	138.58	122.47	115.02	129.69	116.51	130.23	92.85	119.53	150.22	112.27	121.00	107.85	24.13	76.57	116.23	140.61	130.85	129.41	83.29	112.45	111.63	105.51	6.53	126.12	128.97	104.05	84.10	123.15	110.62	91.52	150.24
