GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_07244	0.3262	0.2322	0.2898	0.2407	0.2349	0.2763	0.3476	0.2955	0.2741	0.2022	0.3185	0.2127	0.3426	0.3584	0.2875	0.3358	0.2466	0.2586	0.2653	0.2614	0.2951	0.2827	0.2593	0.2365	0.2559	0.2330	0.2323	0.2644	0.3020	0.2943	0.3640	0.1875	0.3411	0.1893	0.1876	0.1666	0.1125	0.2486	0.1548	0.1613	0.1908	0.1603	0.1913	0.2510	0.1472	0.1293	0.1241	0.1636
QG37_07245	0.7852	0.7255	0.8052	0.8146	0.7158	0.7447	0.9038	0.8221	0.7573	0.7854	0.8013	0.7274	0.8194	0.8320	0.8886	0.8991	0.8139	0.7904	0.7398	0.7477	0.8589	0.8277	0.7838	0.7112	0.7754	0.8087	0.7297	0.7031	0.7210	0.7054	0.8404	0.6782	0.7318	0.7316	0.8208	0.6924	0.7404	0.7862	0.6893	0.7176	0.8793	0.7530	0.7077	0.8132	0.7155	0.7340	0.6974	0.7705
QG37_07246	0.6354	0.4296	0.5752	0.4420	0.5245	0.4684	0.5450	0.5195	0.4549	0.5020	0.5094	0.4071	0.4951	0.5129	0.5037	0.4473	0.5040	0.4606	0.4701	0.5147	0.3901	0.5383	0.4769	0.5015	0.5928	0.3932	0.4545	0.4661	0.4074	0.2373	0.4941	0.4686	0.5008	0.4344	0.5503	0.3916	0.5152	0.4025	0.4992	0.5289	0.3903	0.5217	0.5249	0.4840	0.5942	0.4232	0.5587	0.5640
QG37_07247	0.7508	0.7956	0.6479	0.8048	0.7116	0.7960	0.8059	0.7848	0.7899	0.7369	0.7492	0.6982	0.7396	0.7877	0.7563	0.8067	0.7923	0.7954	0.7660	0.7817	0.7820	0.8237	0.8027	0.7402	0.8044	0.7168	0.7308	0.6679	0.7182	0.6244	0.7803	0.7506	0.7710	0.7261	0.8004	0.8226	0.7712	0.8286	0.7970	0.7672	0.7981	0.7576	0.7775	0.8452	0.8413	0.7914	0.7928	0.7377
QG37_07248	0.7062	0.7614	0.5852	0.6856	0.5829	0.7920	0.7437	0.6247	0.6793	0.6699	0.4827	0.7501	0.5304	0.6757	0.7627	0.6703	0.5790	0.6791	0.7579	0.6912	0.7020	0.7400	0.6417	0.6271	0.6943	0.7279	0.7237	0.5623	0.6042	0.4883	0.6511	0.6083	0.7343	0.6632	0.7466	0.7342	1.0147	0.7137	0.6652	0.5856	0.7596	0.7013	0.5942	0.9074	0.7084	0.7518	0.7112	0.7056
QG37_07249	0.8102	0.7264	0.8801	0.9144	0.8513	1.0227	1.0041	0.9304	0.9217	0.9637	0.9196	0.8633	0.8654	0.9437	1.0359	0.9540	0.7905	0.8841	0.9951	0.8090	0.8449	1.0292	0.8723	0.6408	0.8332	0.9592	0.9212	0.8697	0.8105	0.8497	0.8454	0.8446	0.9271	0.9814	0.8546	0.9969	0.8685	0.8387	1.0224	0.8969	0.8107	0.8837	0.8547	0.9114	0.9478	0.9011	0.9656	1.0178
QG37_07250	0.8986	0.9506	0.8547	0.9331	0.9235	0.7522	0.9468	1.0035	0.8424	0.9361	0.7406	0.9077	0.9378	0.8784	0.8707	0.8681	1.0280	0.8897	0.9225	0.7336	1.0667	1.0295	0.9681	1.1587	1.0113	0.9063	0.9218	0.8809	0.8703	0.8660	0.9687	0.9876	1.1124	1.0029	0.9711	0.7957	1.0106	1.0276	1.1479	0.9806	1.0698	0.9272	0.7959	1.0376	1.0961	0.9953	1.1188	0.9697
QG37_07251	0.8559	0.9631	0.7521	1.0076	0.9282	0.8275	0.8432	0.8365	0.6835	0.8953	0.9047	0.7285	0.8558	0.9089	0.7990	0.9845	0.7630	0.8055	0.8630	1.0367	0.8759	0.9595	0.8647	1.0236	0.9097	0.7274	0.7968	0.9683	0.7763	0.6550	0.9597	0.8899	0.9820	0.9434	0.9544	1.0064	1.1026	0.9656	0.9309	1.0198	0.8449	0.9003	0.9349	0.8779	0.8304	1.0104	0.9736	0.9940
QG37_07252	0.8384	0.7882	0.8232	0.8737	0.9038	0.9093	1.0505	0.9365	0.9231	0.8827	0.9342	0.8415	0.8929	0.9904	0.9821	0.9174	0.8546	0.8602	0.8776	0.8696	0.8510	0.8579	0.8043	0.7816	0.9192	0.7719	0.8356	0.8492	0.8298	0.7808	0.8373	0.8734	0.9656	0.9925	0.9805	0.9155	1.0442	0.9477	0.8243	1.0045	0.9729	0.9390	0.9875	1.0133	0.8213	0.8444	0.9709	0.9332
QG37_07253	0.9597	0.9143	0.8822	0.8976	0.9323	0.8252	0.8645	1.0124	0.9285	0.8059	0.8870	0.8299	0.7749	0.9782	0.8534	0.8910	0.9014	1.0045	0.8569	0.8334	0.8222	0.8486	0.9057	1.0196	0.8819	0.7660	0.8373	0.8768	0.7724	0.7639	0.9604	0.8425	0.9374	0.8918	0.9152	0.8202	0.8764	0.9809	1.0496	0.8723	0.8916	0.9595	0.8530	1.0452	0.8951	0.9952	1.0260	0.8587
