GENE	COVERAGE	STRAIN	GROUP
QG37_02354	1.0070	CDC_B11096	Pakistan
QG37_02354	0.8414	CDC_B11097	Pakistan
QG37_02354	0.8724	CDC_B11098	Pakistan
QG37_02354	0.9657	CDC_B11099	Pakistan
QG37_02354	0.8980	CDC_B11101	Pakistan
QG37_02354	0.8633	CDC_B11102	Pakistan
QG37_02354	0.8798	CDC_B11103	Pakistan
QG37_02354	0.7387	CDC_B11105	Pakistan
QG37_02354	0.8552	CDC_B11112	Pakistan
QG37_02354	0.7153	CDC_B11113	Pakistan
QG37_02354	0.7930	CDC_B11114	Pakistan
QG37_02354	0.7711	CDC_B11115	Pakistan
QG37_02354	0.8616	CDC_B11116	Pakistan
QG37_02354	0.7559	CDC_B11117	Pakistan
QG37_02354	0.7860	CDC_B11118	Pakistan
QG37_02354	0.7939	CDC_B11119	Pakistan
QG37_02354	0.8212	CDC_B11200	India
QG37_02354	0.7249	CDC_B11201	India
QG37_02354	0.8811	CDC_B11205	India
QG37_02354	0.8734	CDC_B11206	India
QG37_02354	0.6863	CDC_B11207	India
QG37_02354	0.8344	CDC_B11208	India
QG37_02354	0.7780	CDC_B11209	India
QG37_02354	0.9060	CDC_B11210	India
QG37_02354	0.8230	CDC_B11212	India
QG37_02354	0.7532	CDC_B11213	India
QG37_02354	0.9072	CDC_B11214	India
QG37_02354	0.8553	CDC_B11215	India
QG37_02354	0.7323	CDC_B11216	India
QG37_02354	1.0740	CDC_B11217	India
QG37_02354	0.8309	CDC_B11218	India
QG37_02354	0.7188	CDC_B11219	India
QG37_02354	0.9285	CDC_B11220	Japan
QG37_02354	0.7931	CDC_B11221	South Africa
QG37_02354	0.7317	CDC_B11222	South Africa
QG37_02354	0.7776	CDC_B11223	South Africa
QG37_02354	0.9124	CDC_B11224	South Africa
QG37_02354	0.8077	CDC_B11225	South Africa
QG37_02354	0.7859	CDC_B11226	South Africa
QG37_02354	0.9463	CDC_B11227	South Africa
QG37_02354	0.6854	CDC_B11228	South Africa
QG37_02354	0.8310	CDC_B11229	South Africa
QG37_02354	0.7482	CDC_B11230	South Africa
QG37_02354	1.0459	CDC_B11243	Venezuela
QG37_02354	0.8481	CDC_B11244	Venezuela
QG37_02354	0.9572	CDC_B11245	Venezuela
QG37_02354	0.9624	CDC_B11246	Venezuela
QG37_02354	1.0835	CDC_B11247	Venezuela
QG37_08405	0.9497	CDC_B11096	Pakistan
QG37_08405	1.0216	CDC_B11097	Pakistan
QG37_08405	1.0726	CDC_B11098	Pakistan
QG37_08405	1.0047	CDC_B11099	Pakistan
QG37_08405	1.1561	CDC_B11101	Pakistan
QG37_08405	0.9529	CDC_B11102	Pakistan
QG37_08405	0.8709	CDC_B11103	Pakistan
QG37_08405	0.9737	CDC_B11105	Pakistan
QG37_08405	1.0820	CDC_B11112	Pakistan
QG37_08405	1.0037	CDC_B11113	Pakistan
QG37_08405	0.9281	CDC_B11114	Pakistan
QG37_08405	0.9701	CDC_B11115	Pakistan
QG37_08405	0.8907	CDC_B11116	Pakistan
QG37_08405	0.8490	CDC_B11117	Pakistan
QG37_08405	0.8404	CDC_B11118	Pakistan
QG37_08405	1.0799	CDC_B11119	Pakistan
QG37_08405	1.0592	CDC_B11200	India
QG37_08405	0.7426	CDC_B11201	India
QG37_08405	0.9576	CDC_B11205	India
QG37_08405	0.8801	CDC_B11206	India
QG37_08405	1.0371	CDC_B11207	India
QG37_08405	1.0931	CDC_B11208	India
QG37_08405	1.0115	CDC_B11209	India
QG37_08405	1.0113	CDC_B11210	India
QG37_08405	0.9391	CDC_B11212	India
QG37_08405	0.9777	CDC_B11213	India
QG37_08405	1.0414	CDC_B11214	India
QG37_08405	0.9273	CDC_B11215	India
QG37_08405	0.9760	CDC_B11216	India
QG37_08405	0.8978	CDC_B11217	India
QG37_08405	0.9004	CDC_B11218	India
QG37_08405	0.8045	CDC_B11219	India
QG37_08405	0.9995	CDC_B11220	Japan
QG37_08405	1.0108	CDC_B11221	South Africa
QG37_08405	0.8641	CDC_B11222	South Africa
QG37_08405	0.7670	CDC_B11223	South Africa
QG37_08405	1.0960	CDC_B11224	South Africa
QG37_08405	0.8689	CDC_B11225	South Africa
QG37_08405	0.9717	CDC_B11226	South Africa
QG37_08405	1.0842	CDC_B11227	South Africa
QG37_08405	0.8861	CDC_B11228	South Africa
QG37_08405	0.9468	CDC_B11229	South Africa
QG37_08405	0.9236	CDC_B11230	South Africa
QG37_08405	1.2439	CDC_B11243	Venezuela
