GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_00016	32.16	35.96	19.21	12.64	27.02	31.40	36.18	41.57	32.61	33.51	23.15	32.22	29.61	35.64	34.31	37.45	31.91	42.59	37.63	31.40	23.67	31.99	31.12	31.58	35.78	27.06	25.33	30.84	27.14	11.14	19.41	32.66	29.83	39.84	26.81	29.74	21.99	27.48	26.61	38.74	43.83	35.17	23.92	21.92	20.29	28.71	22.51	31.90
QG37_00017	78.70	59.68	42.24	50.34	58.96	71.44	56.11	79.79	77.97	61.39	59.78	63.19	57.66	52.03	63.99	77.03	78.69	93.38	66.94	61.79	91.06	58.03	82.72	73.94	65.13	65.23	55.07	71.13	62.36	11.94	42.90	62.08	81.31	71.16	58.93	47.19	64.76	75.47	47.39	66.31	66.76	80.08	59.47	52.11	61.15	52.67	57.06	64.62
QG37_00018	75.54	89.07	62.93	62.38	77.75	87.80	78.58	81.75	99.22	85.92	74.40	69.43	60.50	80.53	79.19	87.09	100.04	109.12	101.45	80.13	94.07	78.00	98.15	75.50	90.05	84.81	66.00	98.88	70.24	26.74	48.23	80.01	90.46	82.16	84.11	65.78	70.92	76.48	61.13	90.04	94.53	95.51	70.80	63.46	79.37	81.83	77.19	92.25
QG37_00019	92.68	106.01	82.69	64.53	121.94	98.90	119.57	105.05	131.09	101.99	83.79	90.03	76.95	106.02	111.73	98.24	126.63	117.36	150.65	110.26	99.55	116.47	140.32	91.62	98.07	107.85	89.11	116.52	96.14	31.03	59.40	126.52	114.30	108.54	109.58	73.32	90.68	101.84	88.27	122.53	113.76	125.53	78.99	84.10	106.91	87.79	72.98	127.84
QG37_00020	94.61	105.99	47.48	57.87	82.61	68.13	91.91	95.57	84.24	91.50	65.41	91.67	82.05	85.43	74.04	80.33	98.57	129.28	100.62	86.49	81.27	94.93	96.66	92.34	103.49	87.50	84.46	108.54	72.74	22.35	41.65	111.50	113.95	86.52	94.17	71.14	82.98	87.82	77.71	98.48	108.86	114.03	78.48	74.92	79.69	94.48	87.79	122.27
QG37_00021	96.67	100.10	62.11	47.27	89.82	106.55	96.33	88.06	80.21	94.80	76.65	82.15	75.75	89.15	77.85	105.56	98.09	91.60	98.29	93.14	110.20	101.13	99.87	85.19	99.09	108.19	77.91	110.78	76.80	32.06	66.68	91.81	62.33	65.05	58.76	45.84	62.56	65.89	54.22	73.19	83.09	70.83	63.96	65.33	91.74	70.89	64.14	102.13
QG37_00022	109.19	115.11	77.35	61.85	99.41	105.53	111.05	108.16	135.29	102.84	88.31	117.05	108.05	95.76	114.15	131.29	125.94	134.10	148.84	100.38	119.23	133.46	138.50	101.47	133.99	140.00	107.38	135.06	106.55	37.24	72.15	123.16	137.38	125.65	105.98	77.91	95.82	111.26	68.70	108.28	114.92	108.64	81.01	76.45	102.13	96.91	90.09	125.78
QG37_00023	114.00	122.64	73.66	69.90	115.95	106.92	114.38	114.13	134.93	100.40	83.56	120.35	112.56	93.27	126.25	119.26	156.48	140.15	156.26	98.36	105.51	135.39	142.49	98.81	126.33	120.52	112.69	144.28	105.36	33.86	65.41	135.85	144.21	134.69	107.12	88.45	103.32	117.79	79.62	98.44	137.74	115.56	93.67	73.62	105.90	97.09	75.66	118.15
QG37_00024	94.58	125.71	73.27	79.50	114.22	107.18	85.02	111.16	118.40	100.92	79.82	94.00	89.95	86.98	96.00	125.03	136.06	150.84	128.84	120.54	146.83	128.03	127.09	106.44	115.33	122.48	89.21	130.05	96.43	28.09	70.86	92.84	142.94	138.85	101.97	99.09	97.50	110.20	80.34	119.85	123.33	120.71	85.82	88.06	107.35	117.34	90.96	150.34
QG37_00025	110.17	134.52	74.73	65.29	107.93	114.75	100.33	106.28	129.47	101.13	97.40	107.90	96.07	83.94	107.54	107.15	145.18	152.27	116.38	112.32	121.51	120.18	132.67	89.60	125.94	140.36	90.80	132.54	105.25	26.67	71.05	113.97	134.14	123.41	109.38	76.86	99.13	117.47	89.50	104.84	124.70	118.55	83.67	86.70	117.13	114.87	92.44	165.73
