GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_02694	0.6555	0.4199	0.4857	0.3613	0.4125	0.4370	0.4670	0.5484	0.4349	0.4573	0.5718	0.3930	0.4188	0.4671	0.4372	0.5213	0.4926	0.4342	0.4461	0.4930	0.4183	0.4304	0.4836	0.5298	0.4906	0.4330	0.3975	0.4505	0.2921	0.2995	0.4368	0.3622	0.4919	0.2787	0.4390	0.3885	0.3343	0.3092	0.2959	0.3741	0.4391	0.4215	0.3153	0.3258	0.2630	0.3204	0.3266	0.3712
QG37_02695	0.8584	0.7066	0.7648	0.7298	0.7307	0.8534	0.9266	0.7517	0.8057	0.8020	0.9117	0.8429	0.6915	0.8518	0.8271	0.8606	0.7792	0.8176	0.8512	0.8058	0.8016	0.8541	0.7595	0.9362	0.7777	0.6768	0.7893	0.6359	0.6254	0.4789	0.8398	0.6840	0.7323	0.8624	0.7981	0.8447	0.8278	0.7476	0.7849	0.7359	0.8555	0.8047	0.7283	0.7094	0.7537	0.8205	0.6846	0.7579
QG37_02696	0.9454	0.8693	0.8822	0.8813	0.9237	0.9166	0.9596	1.0237	0.8803	0.8856	0.9312	0.7583	0.9263	0.9554	0.7465	0.8584	0.8619	0.8891	0.8226	0.8776	0.9291	0.8079	0.8312	0.8593	0.9209	0.8612	0.8201	0.8719	0.8919	0.8154	0.8842	0.8311	0.8698	0.8212	0.9136	0.9161	0.9956	0.8664	0.9373	0.9062	1.0297	0.8278	0.8772	0.7555	0.8790	0.8903	0.7981	0.8773
QG37_02697	0.9674	0.9899	0.9297	0.9299	1.0539	0.9568	1.0569	0.9603	0.9908	0.9484	0.9899	0.9303	0.9810	0.9403	0.9344	0.9518	1.0053	0.9853	1.0115	1.0188	0.9237	0.9196	0.9674	0.8894	0.9838	0.9203	0.9593	1.0162	0.9865	1.1131	1.0429	0.8767	1.0321	0.9519	1.0496	0.9815	0.9368	1.0127	1.0235	0.9048	0.9259	0.9199	0.8633	1.0663	0.9596	0.9269	1.0228	1.0708
QG37_02698	0.3150	0.5684	0.5712	0.6209	0.5754	0.5378	0.5344	0.7184	0.5027	0.6417	0.5391	0.6845	0.5941	0.5831	0.5534	0.5504	0.5718	0.5636	0.6093	0.5693	0.6187	0.6750	0.5529	0.4752	0.5034	0.4756	0.6232	0.5847	0.5667	0.7135	0.4825	0.5407	0.5675	0.5212	0.5808	0.5091	0.5645	0.5599	0.5190	0.6542	0.6999	0.7070	0.7435	0.5806	0.6020	0.5575	0.5979	0.4924
QG37_02699	0.9404	0.5865	0.5573	0.6827	0.6905	0.6924	0.6841	0.6534	0.6368	0.6541	0.5685	0.6560	0.6141	0.6257	0.6960	0.6245	0.6802	0.5265	0.5842	0.6152	0.6615	0.6775	0.5520	0.6000	0.5855	0.5779	0.5678	0.5602	0.6574	0.6523	0.6402	0.5899	0.5058	0.6783	0.5892	0.5412	0.6043	0.5549	0.6125	0.7095	0.5994	0.7040	0.7256	0.6584	0.5084	0.5456	0.6009	0.5800
QG37_02700	0.9741	0.8319	0.9613	0.7569	0.8281	0.9240	0.9084	0.8458	0.9502	0.8467	0.8892	0.8409	0.8351	0.8602	0.8834	0.9040	0.8914	0.8292	0.8207	0.9298	0.9123	0.8615	0.8934	0.9342	0.9556	0.8970	0.7940	0.9097	0.8096	0.7533	0.9186	0.8461	0.8690	0.8857	0.9416	1.0279	0.8482	0.7763	0.9275	0.8248	0.8604	0.8535	0.7458	0.9593	0.7717	0.8237	0.8953	0.7085
QG37_02701	1.0622	1.0002	1.0578	0.8839	1.0084	1.0636	1.0002	1.0356	0.9852	1.0356	1.0612	0.9529	0.9676	0.9329	0.9222	0.9775	0.8826	0.9758	0.9166	0.8408	0.9276	0.8986	0.9941	0.9387	0.9887	0.9868	1.0819	0.8807	0.8382	0.8912	0.9905	0.9779	0.9102	1.1006	0.9489	1.0354	0.9040	1.0128	1.1561	0.9506	1.0205	1.0109	1.0225	0.9802	0.9102	1.1048	1.0056	1.0293
QG37_02702	1.3327	1.0363	0.9294	0.8759	0.8222	0.8842	1.0468	1.0265	0.9119	0.9213	1.1119	0.9501	0.9864	0.9886	0.8469	0.9852	0.8881	1.0631	1.0739	0.7344	0.9443	0.9940	1.1163	0.9979	0.9021	1.0282	1.0292	0.7676	0.8400	0.9579	1.0099	0.7593	0.9228	1.0767	1.0507	1.1368	0.9759	0.9914	1.0081	1.0266	0.9651	0.8937	0.9772	0.9153	0.9733	1.1033	0.9630	1.0150
QG37_02703	0.8294	0.9103	0.8913	0.8988	0.9475	0.9624	1.1017	1.0176	0.8395	0.8495	0.9435	0.8245	0.9279	0.9412	0.9204	0.9590	0.9035	1.0728	0.9720	0.8861	0.9614	0.8777	0.9226	0.8625	0.8712	0.8780	0.8522	0.7945	0.8911	0.7084	0.9678	0.8993	0.9393	0.9218	0.9096	0.8468	0.8476	0.9575	0.9998	0.8507	0.9427	0.8897	0.9060	0.9839	0.9893	0.9777	0.9220	0.9241
