GENE	COVERAGE	STRAIN	GROUP
QG37_01305	1.0081	CDC_B11098	Pakistan
QG37_01305	1.0629	CDC_B11099	Pakistan
QG37_01305	0.9581	CDC_B11101	Pakistan
QG37_01305	1.0900	CDC_B11102	Pakistan
QG37_01305	0.9530	CDC_B11103	Pakistan
QG37_01305	0.9839	CDC_B11105	Pakistan
QG37_01305	1.1165	CDC_B11112	Pakistan
QG37_01305	0.8260	CDC_B11113	Pakistan
QG37_01305	1.1067	CDC_B11114	Pakistan
QG37_01305	1.1244	CDC_B11115	Pakistan
QG37_01305	0.9250	CDC_B11116	Pakistan
QG37_01305	1.0259	CDC_B11117	Pakistan
QG37_01305	0.8706	CDC_B11118	Pakistan
QG37_01305	1.0776	CDC_B11119	Pakistan
QG37_01305	1.0390	CDC_B11200	India
QG37_01305	1.0504	CDC_B11201	India
QG37_01305	0.9566	CDC_B11205	India
QG37_01305	0.8813	CDC_B11206	India
QG37_01305	1.0488	CDC_B11207	India
QG37_01305	1.1526	CDC_B11208	India
QG37_01305	0.9310	CDC_B11209	India
QG37_01305	1.0213	CDC_B11210	India
QG37_01305	1.0405	CDC_B11212	India
QG37_01305	1.0191	CDC_B11213	India
QG37_01305	0.9430	CDC_B11214	India
QG37_01305	0.9928	CDC_B11215	India
QG37_01305	1.0145	CDC_B11216	India
QG37_01305	0.9560	CDC_B11217	India
QG37_01305	0.8613	CDC_B11218	India
QG37_01305	0.9442	CDC_B11219	India
QG37_01305	0.8403	CDC_B11220	Japan
QG37_01305	1.0063	CDC_B11221	South Africa
QG37_01305	1.1343	CDC_B11222	South Africa
QG37_01305	1.0459	CDC_B11223	South Africa
QG37_01305	0.9345	CDC_B11224	South Africa
QG37_01305	0.9972	CDC_B11225	South Africa
QG37_01305	1.0109	CDC_B11226	South Africa
QG37_01305	0.8835	CDC_B11227	South Africa
QG37_01305	0.9798	CDC_B11228	South Africa
QG37_01305	1.0349	CDC_B11229	South Africa
QG37_01305	0.8048	CDC_B11230	South Africa
QG37_01305	0.8442	CDC_B11243	Venezuela
QG37_01305	1.1382	CDC_B11244	Venezuela
QG37_01305	1.1095	CDC_B11245	Venezuela
QG37_01305	1.0095	CDC_B11246	Venezuela
QG37_01305	0.9999	CDC_B11247	Venezuela
QG37_01306	1.3004	CDC_B11096	Pakistan
QG37_01306	1.0995	CDC_B11097	Pakistan
QG37_01306	1.1522	CDC_B11098	Pakistan
QG37_01306	1.2575	CDC_B11099	Pakistan
QG37_01306	0.9567	CDC_B11101	Pakistan
QG37_01306	1.1770	CDC_B11102	Pakistan
QG37_01306	1.2132	CDC_B11103	Pakistan
QG37_01306	1.1525	CDC_B11105	Pakistan
QG37_01306	1.0353	CDC_B11112	Pakistan
QG37_01306	1.0459	CDC_B11113	Pakistan
QG37_01306	1.2737	CDC_B11114	Pakistan
QG37_01306	0.9600	CDC_B11115	Pakistan
QG37_01306	1.2467	CDC_B11116	Pakistan
QG37_01306	1.2942	CDC_B11117	Pakistan
QG37_01306	0.9901	CDC_B11118	Pakistan
QG37_01306	1.2146	CDC_B11119	Pakistan
QG37_01306	1.1506	CDC_B11200	India
QG37_01306	1.1809	CDC_B11201	India
QG37_01306	1.0040	CDC_B11205	India
QG37_01306	1.1030	CDC_B11206	India
QG37_01306	1.2152	CDC_B11207	India
QG37_01306	1.0089	CDC_B11208	India
QG37_01306	1.1291	CDC_B11209	India
QG37_01306	1.2059	CDC_B11210	India
QG37_01306	1.0695	CDC_B11212	India
QG37_01306	1.0804	CDC_B11213	India
QG37_01306	0.9825	CDC_B11214	India
QG37_01306	1.1951	CDC_B11215	India
QG37_01306	1.1228	CDC_B11216	India
QG37_01306	0.8578	CDC_B11217	India
QG37_01306	1.1216	CDC_B11218	India
QG37_01306	1.1489	CDC_B11219	India
QG37_01306	1.1913	CDC_B11220	Japan
QG37_01306	1.1134	CDC_B11221	South Africa
QG37_01306	1.1260	CDC_B11222	South Africa
QG37_01306	1.1476	CDC_B11223	South Africa
QG37_01306	1.0096	CDC_B11224	South Africa
QG37_01306	1.0387	CDC_B11225	South Africa
QG37_01306	1.2228	CDC_B11226	South Africa
QG37_01306	1.0536	CDC_B11227	South Africa
QG37_01306	1.1756	CDC_B11228	South Africa
QG37_01306	1.1978	CDC_B11229	South Africa
QG37_01306	1.0921	CDC_B11230	South Africa
QG37_01306	1.0689	CDC_B11243	Venezuela
QG37_01306	1.1815	CDC_B11244	Venezuela
QG37_01306	1.1260	CDC_B11245	Venezuela
QG37_01306	1.0976	CDC_B11246	Venezuela
QG37_01306	1.1978	CDC_B11247	Venezuela
QG37_01307	0.9809	CDC_B11096	Pakistan
QG37_01307	1.0177	CDC_B11097	Pakistan
QG37_01307	1.0639	CDC_B11098	Pakistan
QG37_01307	1.1332	CDC_B11099	Pakistan
QG37_01307	0.9520	CDC_B11101	Pakistan
QG37_01307	1.1454	CDC_B11102	Pakistan
QG37_01307	0.9678	CDC_B11103	Pakistan
QG37_01307	0.8938	CDC_B11105	Pakistan
QG37_01307	0.9757	CDC_B11112	Pakistan
QG37_01307	1.1111	CDC_B11113	Pakistan
QG37_01307	1.1159	CDC_B11114	Pakistan
QG37_01307	1.0239	CDC_B11115	Pakistan
QG37_01307	0.9918	CDC_B11116	Pakistan
QG37_01307	1.0220	CDC_B11117	Pakistan
QG37_01307	1.0119	CDC_B11118	Pakistan
QG37_01307	0.9861	CDC_B11119	Pakistan
QG37_01307	0.9844	CDC_B11200	India
QG37_01307	0.7981	CDC_B11201	India
QG37_01307	0.9002	CDC_B11205	India
QG37_01307	0.9590	CDC_B11206	India
QG37_01307	0.8968	CDC_B11207	India
QG37_01307	0.8684	CDC_B11208	India
QG37_01307	0.9687	CDC_B11209	India
QG37_01307	0.8811	CDC_B11210	India
QG37_01307	0.9767	CDC_B11212	India
QG37_01307	0.9714	CDC_B11213	India
QG37_01307	0.8842	CDC_B11214	India
QG37_01307	1.0001	CDC_B11215	India
QG37_01307	0.8120	CDC_B11216	India
QG37_01307	0.8651	CDC_B11217	India
QG37_01307	0.8600	CDC_B11218	India
QG37_01307	0.9704	CDC_B11219	India
QG37_01307	1.0112	CDC_B11220	Japan
QG37_01307	1.0987	CDC_B11221	South Africa
QG37_01307	0.9840	CDC_B11222	South Africa
QG37_01307	0.9670	CDC_B11223	South Africa
QG37_01307	0.9265	CDC_B11224	South Africa
QG37_01307	0.9549	CDC_B11225	South Africa
QG37_01307	1.1190	CDC_B11226	South Africa
QG37_01307	0.9844	CDC_B11227	South Africa
QG37_01307	1.0337	CDC_B11228	South Africa
QG37_01307	0.9813	CDC_B11229	South Africa
QG37_01307	0.8786	CDC_B11230	South Africa
QG37_01307	0.9785	CDC_B11243	Venezuela
QG37_01307	0.8470	CDC_B11244	Venezuela
QG37_01307	1.1094	CDC_B11245	Venezuela
QG37_01307	1.0804	CDC_B11246	Venezuela
QG37_01307	1.0342	CDC_B11247	Venezuela
QG37_01308	1.1044	CDC_B11096	Pakistan
QG37_01308	1.0998	CDC_B11097	Pakistan
QG37_01308	1.0283	CDC_B11098	Pakistan
QG37_01308	1.1290	CDC_B11099	Pakistan
QG37_01308	1.0422	CDC_B11101	Pakistan
QG37_01308	0.9163	CDC_B11102	Pakistan
QG37_01308	1.0514	CDC_B11103	Pakistan
QG37_01308	0.9582	CDC_B11105	Pakistan
QG37_01308	1.0340	CDC_B11112	Pakistan
QG37_01308	1.1361	CDC_B11113	Pakistan
QG37_01308	1.1198	CDC_B11114	Pakistan
QG37_01308	1.0003	CDC_B11115	Pakistan
QG37_01308	1.0915	CDC_B11116	Pakistan
QG37_01308	0.9559	CDC_B11117	Pakistan
QG37_01308	0.9183	CDC_B11118	Pakistan
QG37_01308	0.8385	CDC_B11119	Pakistan
QG37_01308	0.9895	CDC_B11200	India
QG37_01308	1.0100	CDC_B11201	India
QG37_01308	0.9228	CDC_B11205	India
QG37_01308	1.1300	CDC_B11206	India
QG37_01308	0.9792	CDC_B11207	India
QG37_01308	0.9895	CDC_B11208	India
QG37_01308	1.1191	CDC_B11209	India
QG37_01308	1.1069	CDC_B11210	India
QG37_01308	1.1713	CDC_B11212	India
QG37_01308	1.1269	CDC_B11213	India
QG37_01308	0.9293	CDC_B11214	India
QG37_01308	1.1195	CDC_B11215	India
QG37_01308	1.0941	CDC_B11216	India
QG37_01308	1.0079	CDC_B11217	India
QG37_01308	0.9145	CDC_B11218	India
QG37_01308	0.9229	CDC_B11219	India
QG37_01308	0.8689	CDC_B11220	Japan
QG37_01308	1.0650	CDC_B11221	South Africa
QG37_01308	0.9074	CDC_B11222	South Africa
QG37_01308	0.9625	CDC_B11223	South Africa
QG37_01308	0.9330	CDC_B11224	South Africa
QG37_01308	1.0024	CDC_B11225	South Africa
QG37_01308	0.8781	CDC_B11226	South Africa
QG37_01308	1.0721	CDC_B11227	South Africa
QG37_01308	0.9557	CDC_B11228	South Africa
QG37_01308	0.8777	CDC_B11229	South Africa
QG37_01308	0.9639	CDC_B11230	South Africa
QG37_01308	1.0312	CDC_B11243	Venezuela
QG37_01308	0.9975	CDC_B11244	Venezuela
QG37_01308	1.0147	CDC_B11245	Venezuela
QG37_01308	1.1222	CDC_B11246	Venezuela
QG37_01308	0.8075	CDC_B11247	Venezuela
QG37_01309	0.8909	CDC_B11096	Pakistan
QG37_01309	0.9183	CDC_B11097	Pakistan
QG37_01309	0.7621	CDC_B11098	Pakistan
QG37_01309	0.8791	CDC_B11099	Pakistan
QG37_01309	0.8567	CDC_B11101	Pakistan
QG37_01309	0.9474	CDC_B11102	Pakistan
QG37_01309	0.8914	CDC_B11103	Pakistan
QG37_01309	0.8907	CDC_B11105	Pakistan
QG37_01309	0.8210	CDC_B11112	Pakistan
QG37_01309	0.7866	CDC_B11113	Pakistan
QG37_01309	0.9519	CDC_B11114	Pakistan
QG37_01309	0.8434	CDC_B11115	Pakistan
QG37_01309	0.8161	CDC_B11116	Pakistan
QG37_01309	0.8792	CDC_B11117	Pakistan
QG37_01309	0.7252	CDC_B11118	Pakistan
QG37_01309	0.8812	CDC_B11119	Pakistan
QG37_01309	0.8589	CDC_B11200	India
QG37_01309	0.8708	CDC_B11201	India
QG37_01309	0.8792	CDC_B11205	India
QG37_01309	0.8662	CDC_B11206	India
QG37_01309	0.9445	CDC_B11207	India
QG37_01309	0.8485	CDC_B11208	India
QG37_01309	0.9140	CDC_B11209	India
QG37_01309	0.7842	CDC_B11210	India
QG37_01309	0.8278	CDC_B11212	India
QG37_01309	0.8488	CDC_B11213	India
QG37_01309	0.8154	CDC_B11214	India
QG37_01309	0.8757	CDC_B11215	India
QG37_01309	0.7996	CDC_B11216	India
QG37_01309	0.8263	CDC_B11217	India
QG37_01309	0.8515	CDC_B11218	India
QG37_01309	0.7868	CDC_B11219	India
QG37_01309	0.7882	CDC_B11220	Japan
QG37_01309	0.7358	CDC_B11221	South Africa
QG37_01309	0.8933	CDC_B11222	South Africa
QG37_01309	0.9382	CDC_B11223	South Africa
QG37_01309	0.8344	CDC_B11224	South Africa
QG37_01309	0.8469	CDC_B11225	South Africa
QG37_01309	0.8283	CDC_B11226	South Africa
QG37_01309	0.8571	CDC_B11227	South Africa
QG37_01309	0.9409	CDC_B11228	South Africa
QG37_01309	0.9436	CDC_B11229	South Africa
QG37_01309	0.9359	CDC_B11230	South Africa
QG37_01309	0.8339	CDC_B11243	Venezuela
QG37_01309	0.8839	CDC_B11244	Venezuela
QG37_01309	0.7348	CDC_B11245	Venezuela
QG37_01309	0.9587	CDC_B11246	Venezuela
QG37_01309	0.7273	CDC_B11247	Venezuela
QG37_01310	1.0404	CDC_B11096	Pakistan
QG37_01310	1.5415	CDC_B11097	Pakistan
QG37_01310	1.1937	CDC_B11098	Pakistan
QG37_01310	1.2767	CDC_B11099	Pakistan
QG37_01310	1.1699	CDC_B11101	Pakistan
QG37_01310	1.2424	CDC_B11102	Pakistan
QG37_01310	1.2996	CDC_B11103	Pakistan
QG37_01310	1.3793	CDC_B11105	Pakistan
QG37_01310	1.3123	CDC_B11112	Pakistan
QG37_01310	1.2758	CDC_B11113	Pakistan
QG37_01310	1.3396	CDC_B11114	Pakistan
QG37_01310	1.3010	CDC_B11115	Pakistan
QG37_01310	1.2380	CDC_B11116	Pakistan
QG37_01310	1.2041	CDC_B11117	Pakistan
QG37_01310	1.4054	CDC_B11118	Pakistan
QG37_01310	1.3070	CDC_B11119	Pakistan
QG37_01310	1.2956	CDC_B11200	India
QG37_01310	1.1306	CDC_B11201	India
QG37_01310	1.2344	CDC_B11205	India
QG37_01310	1.3512	CDC_B11206	India
QG37_01310	1.2264	CDC_B11207	India
QG37_01310	1.3705	CDC_B11208	India
QG37_01310	1.3466	CDC_B11209	India
QG37_01310	1.2959	CDC_B11210	India
QG37_01310	1.2576	CDC_B11212	India
QG37_01310	1.0706	CDC_B11213	India
QG37_01310	1.2898	CDC_B11214	India
QG37_01310	1.2502	CDC_B11215	India
QG37_01310	1.3443	CDC_B11216	India
QG37_01310	1.4883	CDC_B11217	India
QG37_01310	1.3738	CDC_B11218	India
QG37_01310	1.3830	CDC_B11219	India
QG37_01310	1.5958	CDC_B11220	Japan
QG37_01310	1.4620	CDC_B11221	South Africa
QG37_01310	1.2825	CDC_B11222	South Africa
QG37_01310	1.3729	CDC_B11223	South Africa
QG37_01310	1.6909	CDC_B11224	South Africa
QG37_01310	1.5301	CDC_B11225	South Africa
QG37_01310	1.5945	CDC_B11226	South Africa
QG37_01310	1.6199	CDC_B11227	South Africa
QG37_01310	1.5178	CDC_B11228	South Africa
QG37_01310	1.5940	CDC_B11229	South Africa
QG37_01310	1.5525	CDC_B11230	South Africa
QG37_01310	1.7462	CDC_B11243	Venezuela
QG37_01310	1.7842	CDC_B11244	Venezuela
QG37_01310	1.8043	CDC_B11245	Venezuela
QG37_01310	1.8723	CDC_B11246	Venezuela
QG37_01310	1.8587	CDC_B11247	Venezuela
QG37_01311	0.9326	CDC_B11096	Pakistan
QG37_01311	0.9673	CDC_B11097	Pakistan
QG37_01311	0.9494	CDC_B11098	Pakistan
QG37_01311	0.8553	CDC_B11099	Pakistan
QG37_01311	0.8630	CDC_B11101	Pakistan
QG37_01311	0.9568	CDC_B11102	Pakistan
QG37_01311	0.9158	CDC_B11103	Pakistan
QG37_01311	1.0649	CDC_B11105	Pakistan
QG37_01311	0.9694	CDC_B11112	Pakistan
QG37_01311	1.0477	CDC_B11113	Pakistan
QG37_01311	1.0995	CDC_B11114	Pakistan
QG37_01311	0.8652	CDC_B11115	Pakistan
QG37_01311	1.0763	CDC_B11116	Pakistan
QG37_01311	0.8874	CDC_B11117	Pakistan
QG37_01311	0.9758	CDC_B11118	Pakistan
QG37_01311	0.8758	CDC_B11119	Pakistan
QG37_01311	0.8793	CDC_B11200	India
QG37_01311	0.8302	CDC_B11201	India
QG37_01311	0.9789	CDC_B11205	India
QG37_01311	0.9657	CDC_B11206	India
QG37_01311	0.9474	CDC_B11207	India
QG37_01311	0.9406	CDC_B11208	India
QG37_01311	0.9037	CDC_B11209	India
QG37_01311	0.8601	CDC_B11210	India
QG37_01311	0.9393	CDC_B11212	India
QG37_01311	0.8784	CDC_B11213	India
QG37_01311	0.9572	CDC_B11214	India
QG37_01311	0.8783	CDC_B11215	India
QG37_01311	0.9145	CDC_B11216	India
QG37_01311	0.6884	CDC_B11217	India
QG37_01311	0.9619	CDC_B11218	India
QG37_01311	0.8296	CDC_B11219	India
QG37_01311	0.8774	CDC_B11220	Japan
QG37_01311	0.8934	CDC_B11221	South Africa
QG37_01311	0.8092	CDC_B11222	South Africa
QG37_01311	0.9366	CDC_B11223	South Africa
QG37_01311	0.8468	CDC_B11224	South Africa
QG37_01311	0.9148	CDC_B11225	South Africa
QG37_01311	0.9191	CDC_B11226	South Africa
QG37_01311	0.9164	CDC_B11227	South Africa
QG37_01311	0.8884	CDC_B11228	South Africa
QG37_01311	0.8290	CDC_B11229	South Africa
QG37_01311	0.8996	CDC_B11230	South Africa
QG37_01311	0.7863	CDC_B11243	Venezuela
QG37_01311	0.9686	CDC_B11244	Venezuela
QG37_01311	1.0232	CDC_B11245	Venezuela
QG37_01311	0.7845	CDC_B11246	Venezuela
QG37_01311	0.8339	CDC_B11247	Venezuela
QG37_01312	1.0942	CDC_B11096	Pakistan
QG37_01312	1.0388	CDC_B11097	Pakistan
QG37_01312	1.1585	CDC_B11098	Pakistan
QG37_01312	1.0030	CDC_B11099	Pakistan
QG37_01312	1.0894	CDC_B11101	Pakistan
QG37_01312	1.1017	CDC_B11102	Pakistan
QG37_01312	1.1217	CDC_B11103	Pakistan
QG37_01312	1.1730	CDC_B11105	Pakistan
QG37_01312	1.0159	CDC_B11112	Pakistan
QG37_01312	1.1455	CDC_B11113	Pakistan
QG37_01312	1.1744	CDC_B11114	Pakistan
QG37_01312	1.0524	CDC_B11115	Pakistan
QG37_01312	1.1415	CDC_B11116	Pakistan
QG37_01312	1.0260	CDC_B11117	Pakistan
QG37_01312	1.0368	CDC_B11118	Pakistan
QG37_01312	1.0427	CDC_B11119	Pakistan
QG37_01312	1.0561	CDC_B11200	India
QG37_01312	1.0653	CDC_B11201	India
QG37_01312	1.1226	CDC_B11205	India
QG37_01312	1.1929	CDC_B11206	India
QG37_01312	1.1095	CDC_B11207	India
QG37_01312	1.1429	CDC_B11208	India
QG37_01312	1.0743	CDC_B11209	India
QG37_01312	1.0332	CDC_B11210	India
QG37_01312	1.0549	CDC_B11212	India
QG37_01312	1.0004	CDC_B11213	India
QG37_01312	1.1421	CDC_B11214	India
QG37_01312	1.1179	CDC_B11215	India
QG37_01312	1.0763	CDC_B11216	India
QG37_01312	1.1955	CDC_B11217	India
QG37_01312	0.9939	CDC_B11218	India
QG37_01312	0.9902	CDC_B11219	India
QG37_01312	1.0730	CDC_B11220	Japan
QG37_01312	1.0343	CDC_B11221	South Africa
QG37_01312	1.1376	CDC_B11222	South Africa
QG37_01312	1.0170	CDC_B11223	South Africa
QG37_01312	1.1248	CDC_B11224	South Africa
QG37_01312	1.0560	CDC_B11225	South Africa
QG37_01312	1.0800	CDC_B11226	South Africa
QG37_01312	1.0835	CDC_B11227	South Africa
QG37_01312	1.0449	CDC_B11228	South Africa
QG37_01312	0.9988	CDC_B11229	South Africa
QG37_01312	0.9686	CDC_B11230	South Africa
QG37_01312	1.0569	CDC_B11243	Venezuela
QG37_01312	1.1382	CDC_B11244	Venezuela
QG37_01312	1.0256	CDC_B11245	Venezuela
QG37_01312	1.0274	CDC_B11246	Venezuela
QG37_01312	1.0304	CDC_B11247	Venezuela
QG37_01313	1.0930	CDC_B11096	Pakistan
QG37_01313	0.9908	CDC_B11097	Pakistan
QG37_01313	1.0910	CDC_B11098	Pakistan
QG37_01313	0.9022	CDC_B11099	Pakistan
QG37_01313	0.9593	CDC_B11101	Pakistan
QG37_01313	0.8921	CDC_B11102	Pakistan
QG37_01313	1.0003	CDC_B11103	Pakistan
QG37_01313	1.0415	CDC_B11105	Pakistan
QG37_01313	0.9450	CDC_B11112	Pakistan
QG37_01313	0.9919	CDC_B11113	Pakistan
QG37_01313	0.9958	CDC_B11114	Pakistan
QG37_01313	0.8947	CDC_B11115	Pakistan
QG37_01313	1.0320	CDC_B11116	Pakistan
QG37_01313	0.9348	CDC_B11117	Pakistan
QG37_01313	0.9918	CDC_B11118	Pakistan
QG37_01313	0.9741	CDC_B11119	Pakistan
QG37_01313	0.9733	CDC_B11200	India
QG37_01313	0.9392	CDC_B11201	India
QG37_01313	1.0106	CDC_B11205	India
QG37_01313	1.0647	CDC_B11206	India
QG37_01313	0.9889	CDC_B11207	India
QG37_01313	0.8949	CDC_B11208	India
QG37_01313	1.0300	CDC_B11209	India
QG37_01313	0.9255	CDC_B11210	India
QG37_01313	0.8850	CDC_B11212	India
QG37_01313	1.0020	CDC_B11213	India
QG37_01313	1.0307	CDC_B11214	India
QG37_01313	0.9246	CDC_B11215	India
QG37_01313	1.0091	CDC_B11216	India
QG37_01313	0.8187	CDC_B11217	India
QG37_01313	0.8904	CDC_B11218	India
QG37_01313	0.8594	CDC_B11219	India
QG37_01313	1.0407	CDC_B11220	Japan
QG37_01313	0.8900	CDC_B11221	South Africa
QG37_01313	0.9160	CDC_B11222	South Africa
QG37_01313	0.9581	CDC_B11223	South Africa
QG37_01313	1.0014	CDC_B11224	South Africa
QG37_01313	0.9139	CDC_B11225	South Africa
QG37_01313	1.0362	CDC_B11226	South Africa
QG37_01313	0.9861	CDC_B11227	South Africa
QG37_01313	0.9523	CDC_B11228	South Africa
QG37_01313	1.0197	CDC_B11229	South Africa
QG37_01313	0.9432	CDC_B11230	South Africa
QG37_01313	0.9230	CDC_B11243	Venezuela
QG37_01313	0.8620	CDC_B11244	Venezuela
QG37_01313	0.9332	CDC_B11245	Venezuela
QG37_01313	0.9120	CDC_B11246	Venezuela
QG37_01313	1.0041	CDC_B11247	Venezuela
QG37_01314	1.0101	CDC_B11096	Pakistan
QG37_01314	0.9140	CDC_B11097	Pakistan
QG37_01314	1.0241	CDC_B11098	Pakistan
QG37_01314	0.8937	CDC_B11099	Pakistan
QG37_01314	0.9990	CDC_B11101	Pakistan
QG37_01314	1.0093	CDC_B11102	Pakistan
QG37_01314	1.0637	CDC_B11103	Pakistan
QG37_01314	0.8985	CDC_B11105	Pakistan
QG37_01314	1.0032	CDC_B11112	Pakistan
QG37_01314	0.9752	CDC_B11113	Pakistan
QG37_01314	1.0853	CDC_B11114	Pakistan
QG37_01314	0.9740	CDC_B11115	Pakistan
QG37_01314	1.0085	CDC_B11116	Pakistan
QG37_01314	0.9408	CDC_B11117	Pakistan
QG37_01314	0.8771	CDC_B11118	Pakistan
QG37_01314	0.9337	CDC_B11119	Pakistan
QG37_01314	1.0154	CDC_B11200	India
QG37_01314	0.9545	CDC_B11201	India
QG37_01314	0.9705	CDC_B11205	India
QG37_01314	0.9530	CDC_B11206	India
QG37_01314	1.0509	CDC_B11207	India
QG37_01314	0.9718	CDC_B11208	India
QG37_01314	0.9979	CDC_B11209	India
QG37_01314	0.9028	CDC_B11210	India
QG37_01314	1.0162	CDC_B11212	India
QG37_01314	0.9232	CDC_B11213	India
QG37_01314	0.9027	CDC_B11214	India
QG37_01314	1.0028	CDC_B11215	India
QG37_01314	0.8997	CDC_B11216	India
QG37_01314	0.9442	CDC_B11217	India
QG37_01314	0.8768	CDC_B11218	India
QG37_01314	0.9256	CDC_B11219	India
QG37_01314	1.0803	CDC_B11220	Japan
QG37_01314	0.8892	CDC_B11221	South Africa
QG37_01314	1.0402	CDC_B11222	South Africa
QG37_01314	0.9944	CDC_B11223	South Africa
QG37_01314	0.8928	CDC_B11224	South Africa
QG37_01314	0.9938	CDC_B11225	South Africa
QG37_01314	1.0170	CDC_B11226	South Africa
QG37_01314	0.9864	CDC_B11227	South Africa
QG37_01314	0.9999	CDC_B11228	South Africa
QG37_01314	1.0208	CDC_B11229	South Africa
QG37_01314	0.9464	CDC_B11230	South Africa
QG37_01314	0.9773	CDC_B11243	Venezuela
QG37_01314	1.0295	CDC_B11244	Venezuela
QG37_01314	0.8703	CDC_B11245	Venezuela
QG37_01314	0.8885	CDC_B11246	Venezuela
QG37_01314	0.9210	CDC_B11247	Venezuela
QG37_01315	1.1042	CDC_B11096	Pakistan
QG37_01315	1.1493	CDC_B11097	Pakistan
QG37_01315	1.0234	CDC_B11098	Pakistan
QG37_01315	0.9845	CDC_B11099	Pakistan
QG37_01315	1.0472	CDC_B11101	Pakistan
QG37_01315	1.1391	CDC_B11102	Pakistan
QG37_01315	1.1491	CDC_B11103	Pakistan
QG37_01315	1.0566	CDC_B11105	Pakistan
QG37_01315	1.1413	CDC_B11112	Pakistan
QG37_01315	1.0767	CDC_B11113	Pakistan
QG37_01315	1.0888	CDC_B11114	Pakistan
QG37_01315	0.9776	CDC_B11115	Pakistan
QG37_01315	1.1188	CDC_B11116	Pakistan
QG37_01315	1.0903	CDC_B11117	Pakistan
QG37_01315	1.0628	CDC_B11118	Pakistan
QG37_01315	1.0584	CDC_B11119	Pakistan
QG37_01315	0.9941	CDC_B11200	India
QG37_01315	1.0546	CDC_B11201	India
QG37_01315	1.0765	CDC_B11205	India
QG37_01315	1.0861	CDC_B11206	India
QG37_01315	0.9979	CDC_B11207	India
QG37_01315	1.0878	CDC_B11208	India
QG37_01315	0.9923	CDC_B11209	India
QG37_01315	1.0443	CDC_B11210	India
QG37_01315	1.1363	CDC_B11212	India
QG37_01315	1.0831	CDC_B11213	India
QG37_01315	1.0069	CDC_B11214	India
QG37_01315	1.0999	CDC_B11215	India
QG37_01315	0.9865	CDC_B11216	India
QG37_01315	1.0191	CDC_B11217	India
QG37_01315	1.0138	CDC_B11218	India
QG37_01315	1.0024	CDC_B11219	India
QG37_01315	1.0648	CDC_B11220	Japan
QG37_01315	1.0299	CDC_B11221	South Africa
QG37_01315	1.0491	CDC_B11222	South Africa
QG37_01315	1.1183	CDC_B11223	South Africa
QG37_01315	0.9897	CDC_B11224	South Africa
QG37_01315	1.0247	CDC_B11225	South Africa
QG37_01315	1.0359	CDC_B11226	South Africa
QG37_01315	0.9766	CDC_B11227	South Africa
QG37_01315	1.0695	CDC_B11228	South Africa
QG37_01315	1.1788	CDC_B11229	South Africa
QG37_01315	0.9808	CDC_B11230	South Africa
