GENE	COVERAGE	STRAIN	GROUP
QG37_01304	0.2819	CDC_B11096	Pakistan
QG37_01304	0.5629	CDC_B11097	Pakistan
QG37_01304	0.4264	CDC_B11098	Pakistan
QG37_01304	0.5663	CDC_B11099	Pakistan
QG37_01304	0.5318	CDC_B11101	Pakistan
QG37_01304	0.5034	CDC_B11102	Pakistan
QG37_01304	0.4395	CDC_B11103	Pakistan
QG37_01304	0.5851	CDC_B11105	Pakistan
QG37_01304	0.5070	CDC_B11112	Pakistan
QG37_01304	0.4983	CDC_B11113	Pakistan
QG37_01304	0.5657	CDC_B11114	Pakistan
QG37_01304	0.5482	CDC_B11115	Pakistan
QG37_01304	0.4488	CDC_B11116	Pakistan
QG37_01304	0.4367	CDC_B11117	Pakistan
QG37_01304	0.5648	CDC_B11118	Pakistan
QG37_01304	0.4881	CDC_B11119	Pakistan
QG37_01304	0.4679	CDC_B11200	India
QG37_01304	0.5725	CDC_B11201	India
QG37_01304	0.5378	CDC_B11205	India
QG37_01304	0.5080	CDC_B11206	India
QG37_01304	0.5405	CDC_B11207	India
QG37_01304	0.5202	CDC_B11208	India
QG37_01304	0.5442	CDC_B11209	India
QG37_01304	0.4869	CDC_B11210	India
QG37_01304	0.5522	CDC_B11212	India
QG37_01304	0.5290	CDC_B11213	India
QG37_01304	0.6082	CDC_B11214	India
QG37_01304	0.5585	CDC_B11215	India
QG37_01304	0.5285	CDC_B11216	India
QG37_01304	0.5271	CDC_B11217	India
QG37_01304	0.4592	CDC_B11218	India
QG37_01304	0.4379	CDC_B11219	India
QG37_01304	0.5071	CDC_B11220	Japan
QG37_01304	0.4993	CDC_B11221	South Africa
QG37_01304	0.4656	CDC_B11222	South Africa
QG37_01304	0.3940	CDC_B11223	South Africa
QG37_01304	0.4807	CDC_B11224	South Africa
QG37_01304	0.5603	CDC_B11225	South Africa
QG37_01304	0.5149	CDC_B11226	South Africa
QG37_01304	0.5096	CDC_B11227	South Africa
QG37_01304	0.4278	CDC_B11228	South Africa
QG37_01304	0.4055	CDC_B11229	South Africa
QG37_01304	0.4261	CDC_B11230	South Africa
QG37_01304	0.3320	CDC_B11243	Venezuela
QG37_01304	0.2749	CDC_B11244	Venezuela
QG37_01304	0.2641	CDC_B11245	Venezuela
QG37_01304	0.2015	CDC_B11246	Venezuela
QG37_01304	0.3428	CDC_B11247	Venezuela
QG37_01305	1.0967	CDC_B11096	Pakistan
QG37_01305	0.9122	CDC_B11097	Pakistan
