GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_03498	13.01	8.39	2.01	2.86	8.03	9.61	1.29	3.91	18.77	9.53	7.23	2.61	2.56	9.09	1.87	2.35	8.33	3.39	5.11	6.03	0.09	1.54	11.47	7.23	8.11	5.96	8.54	8.42	6.43	3.27	7.29	3.61	21.20	7.00	8.35	5.22	9.01	8.38	7.75	3.32	6.61	6.32	7.20	12.39	14.30	16.37	15.97	22.90
QG37_03499	140.67	122.66	75.76	68.84	106.40	119.08	101.11	111.86	137.99	115.13	74.49	111.01	90.39	102.22	107.54	102.35	117.99	168.59	147.89	124.80	106.45	131.27	133.65	114.70	123.50	142.74	89.38	124.78	109.54	29.10	66.88	116.10	142.62	121.02	119.12	97.08	98.22	135.85	89.53	123.29	138.86	119.02	105.86	99.17	123.68	131.14	112.87	132.95
QG37_03500	121.17	123.66	72.35	70.39	114.18	118.36	111.70	114.23	127.51	107.28	88.18	90.73	102.14	111.19	100.00	109.42	133.76	143.34	127.10	112.95	114.63	114.37	130.47	100.07	121.78	133.48	96.68	135.09	99.08	26.73	65.90	120.93	130.58	123.10	104.60	90.54	104.95	109.81	96.84	118.39	132.76	127.80	96.53	88.06	115.17	119.39	95.57	138.31
QG37_03501	82.57	81.72	50.23	45.21	79.18	79.25	68.45	63.54	81.82	69.29	56.44	68.40	64.40	63.56	64.52	86.82	90.84	83.38	91.85	70.05	73.48	81.86	86.17	67.74	87.07	91.83	76.68	86.64	66.34	20.29	43.92	84.17	81.21	67.83	58.67	50.83	49.34	53.47	56.53	71.99	72.25	89.80	46.87	54.91	55.17	67.85	63.24	94.94
QG37_03502	62.79	91.04	54.04	53.73	93.86	76.36	81.42	84.91	96.91	92.42	59.26	78.82	83.17	72.43	78.13	86.27	96.84	106.97	105.38	74.53	88.14	95.72	102.71	71.12	101.05	91.90	76.31	98.76	77.18	20.86	61.06	83.94	88.28	77.49	64.73	63.43	76.44	77.92	53.66	92.80	99.45	103.93	56.81	66.57	77.55	78.21	76.19	107.74
QG37_03503	122.32	150.98	84.25	84.46	132.07	122.51	123.62	129.32	126.89	120.88	87.49	97.90	107.30	112.71	117.67	117.84	134.80	162.16	144.60	146.86	136.93	130.32	129.16	102.89	140.82	175.61	102.95	147.02	101.97	31.34	65.80	127.18	135.27	131.44	111.93	109.27	119.34	119.38	97.49	160.36	165.21	134.42	97.79	108.16	110.03	133.53	87.67	160.58
QG37_03504	124.03	125.09	72.28	76.17	123.36	109.31	127.62	114.69	134.70	114.76	88.95	104.87	104.99	102.21	101.26	130.75	131.98	158.82	131.15	112.19	118.12	121.72	136.15	114.14	124.13	131.86	102.79	139.95	103.32	29.24	73.41	119.24	119.57	128.10	124.03	97.79	111.90	112.09	100.69	112.81	140.40	119.24	93.15	95.78	121.84	121.78	96.41	142.07
QG37_03505	124.20	128.77	72.24	74.80	108.65	103.51	119.70	104.82	127.06	107.58	85.25	89.78	95.47	101.84	97.33	118.67	141.72	143.88	125.81	112.04	114.22	109.52	127.70	98.21	120.18	141.50	97.68	126.37	103.91	29.09	64.94	116.82	127.09	116.35	110.50	90.11	93.31	109.25	89.31	123.02	135.65	118.54	86.99	84.89	110.69	96.19	96.65	133.36
QG37_03506	122.07	121.86	72.78	75.93	104.28	114.57	109.80	113.94	150.02	120.44	82.44	105.86	99.17	112.06	110.90	116.29	119.59	154.24	113.94	90.74	117.85	107.00	147.59	108.80	116.87	135.76	98.73	131.53	116.89	23.23	72.99	120.14	122.28	119.49	116.98	102.29	94.27	115.30	96.25	127.51	138.46	139.29	103.57	72.96	106.67	132.38	108.20	130.71
QG37_03507	119.81	117.55	56.98	61.64	100.20	91.83	103.48	108.01	117.38	106.58	78.63	87.72	92.92	95.31	98.57	118.12	144.63	139.13	131.83	98.84	105.50	113.15	113.89	97.04	106.55	119.30	82.63	104.37	89.93	25.74	64.86	103.54	123.11	107.39	99.66	83.13	98.12	114.07	83.77	110.03	114.85	117.47	82.44	87.24	100.79	110.07	93.75	146.70
