GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_07159	0.2607	0.5123	0.3631	0.3559	0.3736	0.4524	0.4186	0.3663	0.2733	0.3321	0.3530	0.4075	0.4873	0.3285	0.3673	0.3840	0.3391	0.3329	0.4458	0.3847	0.3820	0.3741	0.3310	0.3211	0.3534	0.3530	0.3973	0.3687	0.3084	0.4186	0.3622	0.3766	0.5083	0.4070	0.4964	0.5672	0.4755	0.4631	0.4856	0.3773	0.4824	0.4790	0.3999	0.6379	0.6710	0.6597	0.6280	0.5721
QG37_07160	0.9044	0.8437	0.7352	0.8040	0.8346	0.8299	0.9303	0.7612	0.7893	0.8790	0.7282	0.9521	0.7896	0.8397	0.7613	0.8946	0.7323	0.7813	0.7880	0.8053	0.7940	0.7576	0.7623	0.7103	0.8364	0.8762	0.7526	0.7552	0.8397	0.8533	0.8321	0.8479	0.8112	0.7561	0.7981	0.8340	0.8609	0.9261	0.8548	0.7877	0.8721	0.7122	0.8233	1.0063	0.9070	0.9199	1.0024	0.8232
QG37_07161	1.0294	0.8655	0.9343	0.9799	0.8956	0.8602	0.9964	0.9875	0.9973	0.9330	0.9811	0.8508	1.0643	0.9733	0.9339	1.0394	0.9701	1.0211	0.9982	1.0071	1.0789	1.0023	0.9834	1.1580	1.0057	1.0299	0.8772	0.9508	0.9796	0.8175	0.9728	0.8594	1.0327	1.0305	1.1666	1.0077	1.0441	0.9275	0.9907	1.0551	1.0144	1.0335	1.0679	0.9368	1.0331	0.9327	1.1314	1.0154
QG37_07162	0.9721	0.7975	0.9201	0.8318	0.7951	0.7707	0.9449	0.9177	0.9251	1.0187	0.8686	0.8308	0.8824	0.9275	0.7819	0.8406	0.9111	0.8434	0.9801	0.8277	0.8871	0.9406	0.8472	0.9500	0.8964	0.9505	0.8489	0.8808	1.0374	0.8500	0.9372	0.8815	0.9681	0.7892	0.8335	0.9413	0.8282	0.9945	0.7689	0.9295	0.8793	0.8364	1.0836	0.9064	0.9821	0.9952	0.7977	0.8717
QG37_07163	0.3168	0.6376	0.6573	0.5029	0.5610	0.6472	0.5474	0.6057	0.5822	0.6876	0.5377	0.5876	0.5789	0.5079	0.5228	0.5021	0.5495	0.5765	0.6203	0.5204	0.5543	0.5704	0.5427	0.6113	0.6192	0.5024	0.5573	0.5118	0.5480	0.4441	0.4722	0.5962	0.6003	0.5681	0.5671	0.5679	0.6178	0.6453	0.5339	0.6346	0.5203	0.5814	0.6159	0.5364	0.6404	0.6654	0.5501	0.4990
QG37_07164	0.6470	0.5395	0.4279	0.4326	0.4490	0.4684	0.4365	0.6266	0.5244	0.5660	0.5512	0.5388	0.4617	0.4560	0.4830	0.4584	0.4864	0.3723	0.5080	0.4031	0.4506	0.3864	0.4090	0.5053	0.5960	0.5350	0.5279	0.4829	0.5587	2.3192	1.0364	0.4669	0.4489	0.5513	0.4948	0.5685	0.6438	0.6477	0.6242	0.5939	0.5415	0.5602	0.6476	0.4318	0.5778	0.5872	0.6894	0.5378
QG37_07165	0.9346	0.9742	0.7984	0.5285	0.7397	0.7363	0.7800	0.7365	0.6632	0.8251	0.7087	0.8190	0.7089	0.7507	0.8239	0.7745	0.8260	0.7725	0.6638	0.6134	0.7430	0.7503	0.7406	0.8586	0.7699	0.8861	0.9502	0.8801	1.0547	0.8172	0.9549	0.8891	0.9063	1.0048	1.0680	0.7746	0.8978	1.0013	0.9020	0.7991	0.9619	0.8881	0.9024	0.6743	0.8137	0.9819	0.9880	0.8433
QG37_07166	1.0151	1.0456	1.0332	0.8894	0.9608	0.9922	0.9686	0.9171	0.9845	0.8881	0.8965	0.8609	0.9988	0.9464	1.0903	1.0372	1.0443	0.8839	1.0752	0.9075	0.9752	0.9397	0.9098	0.9521	1.0003	1.0089	1.0435	0.9586	0.8658	0.9633	0.9175	0.8611	0.9983	0.8859	0.9899	0.9433	1.0989	0.9168	0.9562	0.9504	0.9329	0.9965	0.8551	1.0420	1.0521	1.0758	1.0996	0.9719
QG37_07167	1.0534	1.0855	1.0214	0.9473	1.0650	1.0149	0.9985	0.9966	0.9972	1.0097	1.0646	1.0046	1.0470	0.9907	1.0527	1.0091	0.9817	1.1020	1.1001	0.9468	1.0847	1.0413	1.0877	0.8805	0.9841	0.9303	1.0363	0.8663	1.0754	1.0579	1.1554	0.9652	1.0100	1.0591	1.0312	0.9564	1.0247	0.9942	1.1059	1.0643	1.1266	1.0327	0.9926	1.0147	0.9864	1.0922	1.1388	0.9754
QG37_07168	1.0781	0.9275	0.9581	0.9892	1.0202	0.9494	1.0393	1.0240	1.0395	1.0068	1.0151	0.9307	0.9395	1.0374	0.9887	0.9677	0.9936	1.0361	1.0017	1.0825	1.0285	0.9758	0.9765	0.8855	0.9863	0.9420	0.9878	0.9464	0.9542	0.8454	0.9485	1.0377	1.0673	1.0338	0.9423	0.9651	0.9372	0.9407	0.9849	0.9573	1.0038	1.0055	0.9689	0.9455	1.0060	0.9645	0.9094	1.0048
