GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_03384	99.91	100.30	60.20	52.66	98.50	86.22	106.40	87.99	70.89	81.95	76.01	83.03	74.96	87.37	99.71	105.85	127.59	149.82	109.73	96.40	96.39	109.88	126.87	96.36	116.54	121.44	88.28	103.33	77.64	20.62	58.87	112.68	1.20	0.06	0.00	0.46	0.00	0.48	0.00	0.98	0.60	1.14	0.60	25.40	37.20	36.17	31.78	47.79
QG37_03385	113.48	111.23	58.77	65.80	101.30	98.18	99.22	106.68	112.26	104.13	81.97	88.37	87.47	89.50	102.94	115.32	134.61	154.00	127.74	92.22	113.53	117.54	119.91	93.68	116.20	126.21	93.43	101.39	92.32	29.20	62.06	111.30	0.58	113.90	104.65	95.17	103.42	105.83	95.14	115.16	127.51	125.59	94.35	93.30	115.33	112.41	99.59	152.12
QG37_03386	147.02	128.61	65.71	67.02	115.07	104.27	119.73	124.86	126.07	103.71	87.37	83.79	99.40	77.50	93.93	101.07	127.79	164.36	148.51	128.52	110.89	127.18	130.85	101.08	110.50	154.99	104.48	121.09	98.24	33.75	77.37	124.84	0.00	96.47	113.55	68.39	102.76	98.31	82.43	93.03	148.71	126.54	80.46	89.15	96.99	100.61	89.43	143.76
QG37_03387	115.18	121.56	65.51	70.29	110.74	108.42	102.06	111.24	121.98	101.32	82.35	83.67	90.79	103.27	95.38	99.61	137.51	138.87	131.18	109.34	109.94	116.63	119.97	97.96	112.93	135.23	96.11	120.64	94.56	25.88	61.79	113.52	0.09	107.64	101.87	88.10	92.01	102.88	89.23	118.46	128.84	125.30	92.14	71.42	81.06	91.51	81.48	101.58
QG37_03388	125.26	124.28	67.57	70.28	105.58	112.23	103.74	111.91	119.09	102.14	87.58	90.38	95.63	100.81	100.68	108.57	124.54	137.62	127.84	117.53	114.17	110.99	131.04	103.48	118.47	130.97	93.84	117.96	100.68	29.23	67.75	119.15	117.24	109.66	102.57	85.06	90.78	116.59	90.32	110.65	135.29	125.56	83.59	83.44	103.48	113.10	105.04	139.15
QG37_03389	98.48	85.18	57.72	51.30	83.80	92.94	93.57	94.55	101.01	84.40	73.00	75.27	82.26	87.98	90.85	90.54	117.03	121.23	109.85	93.78	89.33	97.36	107.12	81.91	93.81	113.45	70.42	95.18	78.60	18.34	57.78	88.08	97.60	94.03	83.95	77.42	92.92	92.81	80.27	98.16	116.87	103.85	74.97	79.32	98.49	94.75	89.41	112.14
QG37_03390	96.77	83.47	44.97	60.82	93.83	71.84	74.57	73.29	85.57	78.92	54.01	64.11	73.96	76.45	77.34	82.51	114.01	104.25	97.20	100.83	92.14	88.58	88.02	70.96	105.97	92.65	70.50	111.98	76.57	20.90	48.35	86.25	93.35	82.55	81.14	62.57	73.02	90.46	58.81	76.92	109.67	71.70	62.63	61.98	95.76	79.42	73.53	108.27
QG37_03391	122.11	121.84	69.98	70.14	112.06	103.52	99.23	109.55	119.70	101.20	78.87	89.69	89.36	95.43	99.75	104.56	136.43	148.49	143.61	129.54	105.50	104.30	115.75	103.75	115.91	129.10	98.09	103.96	101.50	27.15	67.49	120.76	130.60	105.76	94.28	92.16	93.96	104.05	87.25	118.99	141.08	120.94	87.32	95.41	108.99	109.27	103.61	140.84
QG37_03392	109.48	116.51	60.82	61.88	103.64	107.53	98.73	106.15	112.78	80.42	85.66	73.16	84.16	97.12	89.76	103.44	116.28	147.60	111.69	104.08	110.94	96.30	112.11	91.32	103.14	129.64	92.59	115.91	87.42	25.08	69.95	105.18	115.93	87.89	99.62	87.44	85.93	99.85	84.59	96.10	128.63	111.51	74.09	84.00	103.22	95.59	92.29	122.90
QG37_03393	131.33	132.88	55.10	63.28	103.48	85.45	81.31	112.58	104.26	109.73	83.35	95.95	107.81	88.23	102.53	122.08	118.31	131.38	118.85	101.35	110.41	138.84	136.22	112.37	104.03	133.09	87.49	112.94	104.72	27.25	79.40	106.05	108.23	115.80	114.41	72.15	97.11	126.60	99.96	104.94	117.55	136.83	96.44	74.44	111.44	95.79	90.81	133.50
