GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_07733	0.4260	0.6102	0.7493	0.5532	0.6143	0.7141	0.6079	0.5369	0.6462	0.7209	0.6813	0.6616	0.6512	0.6055	0.6351	0.5734	0.6102	0.5363	0.6490	0.7609	0.6553	0.5908	0.6300	0.6507	0.6430	0.5972	0.6372	0.6864	0.6045	0.4850	0.6390	0.5547	0.8128	0.7872	0.8305	0.7878	0.8137	0.7827	0.7152	0.8109	0.6727	0.8639	0.7640	0.6324	0.5625	0.5832	0.5711	0.5716
QG37_07734	1.2287	1.1296	1.1788	1.0437	0.9894	1.0362	0.9529	0.7613	0.9771	1.1314	1.3184	0.9202	1.0206	0.7560	0.8573	0.9404	0.8908	0.9952	1.1094	1.0927	0.9640	1.0891	1.0459	0.9742	0.8857	0.9834	1.0251	1.0060	0.9684	1.0612	0.9722	1.0269	1.0954	1.0784	1.2459	1.1071	1.0989	1.0627	0.9919	1.0776	0.9934	1.0158	1.1189	0.8544	1.0177	1.1067	0.9641	0.8162
QG37_07735	1.3191	1.1885	1.0829	1.0558	1.0622	1.2149	1.2327	1.0944	1.1427	1.1469	1.1739	1.0258	1.1509	1.1102	1.0318	1.0897	1.1662	1.0392	1.1302	1.2009	1.0996	1.2232	1.1446	1.0734	1.0611	1.1343	1.1476	1.1205	1.1280	0.9154	1.0385	1.0526	1.1693	1.0778	1.0375	1.1121	1.0854	1.1019	1.0697	1.0581	1.0692	1.1091	1.0626	1.0755	1.0482	1.0036	1.0758	1.0135
QG37_07736	1.1714	1.0999	1.1009	1.0164	0.9777	1.0347	1.1031	1.0048	0.8824	1.1085	0.8897	0.9260	1.0797	1.0579	0.8432	0.8925	1.0386	0.9927	1.0229	1.0847	0.8904	1.1166	0.9996	1.0246	0.9598	0.9802	0.9843	1.1518	0.9882	0.8639	0.9442	1.0614	1.0625	1.0503	1.0700	0.9303	1.0122	1.0141	0.9666	0.9558	1.0294	0.9720	0.8503	1.0244	1.0044	0.9552	0.9996	0.9670
QG37_07737	1.0804	1.0827	1.0573	1.0514	1.0209	1.0821	1.0691	1.0980	0.9982	1.1163	1.0413	1.0380	1.0105	0.9984	0.9052	0.9975	0.9952	1.0140	1.0358	1.0201	0.9939	1.0181	0.9772	0.9658	1.0243	1.0131	1.0255	1.0584	1.0469	0.9418	1.0085	0.9765	0.9972	1.0532	1.0236	1.0456	0.9556	1.0315	1.0574	0.9837	1.0509	1.0410	0.9620	1.0716	1.1040	1.0528	1.0417	1.0207
QG37_07738	0.9877	0.9428	1.1023	0.9657	1.0331	1.0306	1.0377	0.8227	0.9300	0.8035	0.7082	1.0259	0.9015	0.8595	1.0052	0.8611	0.8576	0.9977	0.9783	0.9786	0.9329	0.8901	0.8512	0.9209	0.7756	0.9309	0.9139	0.9235	0.8771	1.0388	0.5595	0.6844	0.9247	0.9554	0.9181	0.9147	0.9602	0.8786	0.7882	0.7812	0.9531	0.9706	0.9869	1.0043	0.9866	0.9235	1.0860	0.9766
QG37_08476	0.9744	0.8616	1.1025	0.8918	0.9420	0.9022	1.0601	0.9764	0.9211	0.7217	0.8000	1.0041	0.7918	0.9300	1.0600	0.9008	0.9379	0.8763	0.9025	0.9430	0.9696	0.8193	0.9090	0.9136	0.8277	0.9586	0.6952	0.8336	1.0188	0.9682	0.6519	0.6278	0.9398	0.9417	0.8535	1.1889	0.9747	0.8931	0.8975	0.7932	1.0500	0.8305	1.0424	0.9783	0.9822	0.8800	1.0981	1.0823
QG37_08477	0.9612	0.9422	1.0209	0.7999	1.0065	0.8832	1.0061	0.9330	0.9432	0.7401	0.7707	1.0374	0.7304	0.9474	0.9852	0.9626	0.9053	0.9168	0.8154	0.9156	0.8744	0.8643	0.8801	0.9368	0.8694	0.8979	0.6854	0.8092	0.9692	1.0440	0.7409	0.6393	1.0023	0.8527	0.9360	1.0563	0.8605	0.8574	0.9493	0.7253	0.9635	0.8072	0.9275	0.9405	1.0134	0.7504	1.0798	1.0723
QG37_07739	1.0427	0.9430	0.9500	0.9055	0.9416	0.9854	1.0083	0.9134	0.9747	0.9382	0.9470	0.8655	0.9555	0.8777	0.9712	0.8724	0.9296	0.9409	0.9638	1.0031	0.9108	0.9882	0.9485	1.0044	0.9186	0.9466	0.8262	0.9136	0.9075	0.9154	0.9224	0.8851	0.8858	0.9363	0.9363	0.9629	0.9384	0.8947	0.9517	0.9006	0.9691	0.9068	0.9113	1.0450	0.9291	0.9048	0.9630	0.9165
QG37_07740	0.9058	0.8546	0.7879	0.9079	0.8871	0.8061	0.8712	0.8376	0.8414	0.7363	0.7526	0.8570	0.8513	0.8051	0.7725	0.9510	0.8116	0.8920	0.7885	0.8622	0.7741	0.8004	0.8198	0.8238	0.8673	0.7852	0.8295	0.7913	0.7716	0.7042	0.7346	0.7937	0.8249	0.7978	0.8854	0.8443	0.8700	0.8526	0.8870	0.8983	0.9366	0.8352	0.7394	0.8683	0.8553	0.9157	0.9040	0.7932
QG37_07741	0.9994	0.8862	0.9306	0.9174	0.9246	0.9701	0.9599	0.9589	1.0154	0.8881	0.9293	0.8858	0.8858	0.9596	0.9350	0.9549	0.9295	0.8853	0.9664	0.9527	0.9221	1.0202	0.8580	0.9648	0.8683	0.8779	0.8199	0.8687	0.8525	1.0555	0.8053	0.9491	0.9081	0.8570	0.9395	1.0785	0.9305	0.8726	0.9069	0.9648	0.9011	0.9395	0.8955	0.9384	0.9375	0.9763	0.9321	1.0325
