GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_00464	0.8255	0.6621	0.6877	0.4600	0.6141	0.6633	0.6264	0.6098	0.5987	0.6040	0.5782	0.5700	0.7118	0.6372	0.5415	0.5301	0.4280	0.5593	0.5770	0.5385	0.5560	0.5571	0.6854	0.6070	0.6632	0.6029	0.5916	0.6144	0.5650	0.5059	0.6129	0.4942	0.5868	0.5820	0.5469	0.5679	0.5519	0.5020	0.5514	0.5509	0.4419	0.5728	0.4504	0.7724	0.7753	0.7379	0.6411	0.8079
QG37_00465	0.9251	0.8208	0.8163	0.8230	0.7673	0.7342	0.7729	0.8305	0.6557	0.8165	0.7073	0.8390	0.8549	0.6948	0.7560	0.6072	0.8308	0.7296	0.9322	0.7899	0.7612	0.7982	0.8657	0.6799	0.7994	0.8193	0.9783	0.9894	0.6751	0.7048	0.9025	0.7188	0.8161	0.8939	0.8670	0.7143	0.7291	0.8636	0.7761	0.8115	0.6259	0.7442	0.7316	0.9253	0.9347	0.8644	0.7500	0.8129
QG37_00466	1.0212	1.0234	1.1383	1.0617	1.0827	1.1507	1.1148	0.9572	0.9915	1.1825	0.9070	0.9295	0.9287	1.0325	0.9003	1.0537	1.0327	1.1150	0.9635	0.9278	1.0141	1.0049	0.9616	0.8421	1.0041	1.0108	1.0490	1.0427	1.3232	0.8151	0.8357	1.1884	0.9402	1.0333	1.0428	1.1321	0.8626	0.8998	1.0537	0.9138	1.1553	1.1142	0.8892	1.2848	1.0244	1.2157	1.1013	0.9160
QG37_00467	1.0253	0.9373	0.9726	0.8500	0.9481	0.9600	0.9562	1.0017	0.9389	1.0093	0.9815	0.8770	0.9582	0.9875	0.8983	0.9193	0.9117	0.9239	0.9887	1.0626	0.9571	0.9085	0.8477	0.9112	0.9055	0.9112	0.9931	0.9316	0.9608	0.8472	0.8548	0.9210	0.9435	0.9696	0.9234	0.9998	0.9150	0.9138	0.8913	0.9474	1.0081	0.9943	0.8908	1.0026	0.9285	0.9645	0.8982	0.9142
QG37_00468	1.1923	1.2836	1.1825	1.1131	1.2011	1.1760	1.0773	1.2342	1.1842	1.1964	1.1455	1.1234	1.2595	1.0634	1.1748	1.1741	1.0676	1.0913	1.1759	1.1957	1.0542	1.1729	1.0927	0.9755	1.1135	1.0748	1.0582	1.1401	1.2932	1.0388	1.0033	1.0870	1.1552	1.1116	1.1493	1.1722	1.0662	1.1409	1.0646	1.0514	1.1841	1.1174	1.0164	1.0676	1.1821	1.1894	1.0950	1.1100
QG37_00469	0.9202	0.7720	0.7558	0.8127	0.7834	0.8574	0.7875	0.8189	0.8589	0.7759	0.8801	0.7543	0.8022	0.7666	0.7992	0.7769	0.8627	0.7858	0.7813	0.8903	0.7374	0.7806	0.8103	0.7683	0.7627	0.7691	0.8300	0.7820	0.7705	0.6717	0.8317	0.7489	0.8106	0.8060	0.8240	0.8021	0.8198	0.8354	0.8994	0.7742	0.8168	0.7167	0.8125	0.7982	0.7758	0.7551	0.8775	0.7762
QG37_00471	1.1788	1.1178	1.1444	1.0381	1.0540	1.1676	1.1473	1.0541	1.0374	1.1509	1.1046	1.0837	1.1512	1.0128	0.9994	1.0428	1.0436	1.0449	1.0551	1.1866	1.0099	1.0702	1.0557	0.9790	1.0912	1.1072	1.0794	1.1165	1.1197	1.0130	1.0348	1.0723	1.0755	1.0591	1.0355	1.1232	1.0982	1.0708	1.1010	1.0959	1.0798	1.0362	1.0203	1.0637	1.0901	1.0386	1.1101	1.0720
QG37_00472	0.8539	1.0716	0.9449	1.1168	0.9236	1.0632	1.1146	1.0998	1.0889	1.1106	1.0950	0.8726	1.1617	1.1283	1.0730	1.2011	1.0024	0.9035	0.9065	0.9198	0.9266	0.8740	0.9718	0.8919	0.9875	0.9979	0.8700	1.1594	0.9844	0.8821	0.8834	1.0857	0.9348	0.9470	1.1703	1.1011	0.9987	1.0445	0.8687	0.9507	0.9303	0.8170	0.9403	1.0682	0.9411	0.9515	0.9658	1.0295
QG37_00473	0.9286	0.8859	1.1309	0.9564	1.1432	1.0924	0.9696	1.0856	1.0028	0.9087	0.8869	0.9196	0.9090	0.9385	0.9502	1.0131	0.9273	0.9381	1.0181	1.1604	0.8674	1.0352	0.8807	0.8896	0.9873	0.9640	0.9897	1.1278	1.0265	1.2774	0.8425	1.0040	1.0560	0.7872	1.0004	0.9571	1.0143	0.8588	0.8933	0.9429	0.9359	0.9252	0.8512	1.0205	1.0417	0.8649	1.2103	0.8410
QG37_00474	1.0639	0.9266	0.9794	0.8604	1.0388	1.0226	1.0284	0.9389	0.8899	0.9996	0.9870	0.9422	1.0264	1.0350	0.8949	1.0074	0.8944	0.9357	0.9679	0.9235	1.0162	0.9895	0.8708	0.9463	0.9641	0.9997	0.9257	1.0359	0.9126	0.8675	0.8044	0.9702	1.0523	0.9478	0.9626	1.0131	1.0404	0.8664	1.0243	0.9180	0.9326	0.9689	0.9381	0.9678	1.0631	0.9782	1.0037	0.9583
