GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_07680	0.5790	0.5421	0.4612	0.5057	0.5222	0.4690	0.4519	0.3806	0.0804	0.4507	0.4259	0.4386	0.4274	0.4268	0.5580	0.5294	0.3395	0.4592	0.5347	0.5598	0.4682	0.5691	0.4932	0.4506	0.3032	0.4734	0.4156	0.4523	0.4040	0.4065	0.5081	0.5105	0.0763	0.0530	0.0348	0.0366	0.0566	0.0450	0.0597	0.0484	0.0531	0.0568	0.0469	0.1633	0.1411	0.1064	0.1819	0.1276
QG37_07681	0.9676	0.8421	0.8638	0.8849	0.9052	0.9122	0.9679	0.9292	0.9352	0.8405	0.8376	0.8743	0.8799	0.9174	0.9772	0.8968	0.8427	0.8914	0.9135	0.9092	0.8674	0.9389	0.9015	0.9934	0.8931	0.9160	0.7852	0.8626	0.8657	0.7578	0.8240	0.9435	0.9422	0.9396	0.9327	0.8645	0.9491	0.9745	0.9842	0.9151	0.9791	0.9599	0.9126	0.9355	1.0215	0.9520	1.0231	0.9665
QG37_07682	0.9231	0.9723	0.8680	0.9345	0.9362	0.8768	0.9491	0.8004	0.9222	0.9823	1.0278	0.9878	1.0035	0.9524	0.9817	0.9922	0.8563	0.9045	0.9238	0.8619	0.8452	0.9399	0.9048	0.9110	1.0602	0.9881	0.8266	0.9454	1.0571	0.9661	0.9387	0.9069	0.9697	0.9567	0.9889	0.9421	1.0218	0.8631	1.0070	1.0925	0.9568	0.9642	1.0385	1.0008	0.8229	0.9296	0.9558	0.8875
QG37_07683	1.1820	1.0864	0.9730	1.0137	0.9428	1.0728	1.0618	1.0635	1.0862	1.0991	1.0350	0.9992	1.0654	1.0016	1.0253	1.0346	1.0721	1.0775	1.0850	1.0128	1.0317	1.1149	1.0770	1.1058	1.0912	1.0424	1.1528	0.9892	1.1086	0.9942	0.9823	1.0098	1.1572	1.0642	1.0209	1.0081	1.0758	1.0169	1.1209	1.0234	1.1427	1.0909	1.0008	1.0391	1.0718	1.0848	1.1228	1.0444
QG37_07684	1.0547	1.0926	1.1165	1.0788	1.0661	1.1037	1.1594	0.9639	1.0238	1.0790	1.0687	0.9820	1.0006	1.0668	1.1197	1.0376	1.1160	1.0207	1.1537	1.0805	1.1087	1.0707	1.0461	0.9407	1.0634	1.1265	1.0982	1.0923	1.0608	0.9657	1.0275	1.0579	1.1510	1.1480	1.0978	0.9705	1.0484	1.0499	1.1074	1.1236	1.1200	1.0563	1.0852	0.9869	1.0695	1.0924	1.1312	1.1013
QG37_07685	1.2104	1.0272	1.0559	0.9213	1.0148	0.9380	0.9217	0.9513	1.0904	0.9734	1.0881	0.9751	0.9608	1.0625	0.8905	1.1240	1.0131	1.0743	1.1047	0.9435	0.8667	1.0063	0.8526	1.0416	0.9868	1.0820	0.8658	1.0681	1.1274	1.0394	0.9111	0.9108	1.0705	1.1230	0.9653	1.1144	0.9387	1.0033	1.1561	1.0320	1.0321	1.1394	0.8878	1.0334	0.9112	0.7897	1.2196	0.9477
QG37_07686	1.0123	0.8899	0.8809	0.9096	1.0205	0.9158	0.9306	1.0413	0.9010	0.9701	1.0745	0.8983	0.9508	1.0247	0.8339	0.8883	0.9452	0.8895	0.9601	0.9853	0.9742	0.9660	0.9727	1.0057	0.8825	0.9851	0.9072	0.9215	0.9062	0.9036	0.8301	0.8514	0.8975	0.8771	0.8335	0.9844	0.8168	0.9830	0.9264	0.9540	0.9874	0.9638	0.8092	0.8827	1.0166	1.0206	0.9354	0.8820
QG37_07687	0.8138	0.8829	0.8642	0.8381	0.7352	0.8707	0.6817	0.9443	0.7959	0.8211	0.7599	0.5908	0.8993	0.7316	0.7653	0.7625	0.8788	0.8807	0.9929	0.8611	0.8555	0.8996	0.8329	0.9445	0.7775	0.7387	0.8528	0.8198	0.8022	0.6514	0.7849	0.7872	0.9549	0.7812	0.8476	0.7540	0.9098	0.8711	0.8381	1.0627	0.6901	0.8194	0.8994	0.9475	0.8640	0.7988	0.8728	0.8573
QG37_07688	0.9856	0.9784	0.9868	1.0338	0.9942	1.0760	1.0131	1.0102	0.9253	0.9579	1.0599	0.9067	0.9345	0.9464	0.8465	0.9770	0.9272	0.9985	0.9628	1.0288	1.1774	0.9953	1.0056	1.0977	0.9732	0.9919	0.9757	0.9575	0.8682	0.9279	0.8990	0.8259	0.9141	1.0350	1.0277	0.9636	0.9861	0.9930	1.0445	0.9699	1.0749	0.9897	0.8808	0.9935	0.9350	0.9437	0.9675	0.8855
QG37_07689	0.8812	0.8177	0.9475	0.8407	0.8601	0.9792	0.8832	0.9216	0.8561	0.7942	0.9683	0.8640	0.8215	0.8251	0.8116	0.9093	0.9251	0.8942	0.8638	0.9080	0.7627	0.8418	0.8313	0.8994	0.8757	0.8830	0.8421	0.7990	0.7208	0.6938	0.8269	0.7644	0.8453	0.7968	0.8758	0.9479	0.8392	0.8274	0.9387	0.9196	0.9216	0.7990	0.8178	0.8951	0.8149	0.9514	0.8586	0.8038
