GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_07494	0.9452	0.9403	0.7989	0.8367	0.9208	0.8607	0.8877	0.9313	0.9720	0.9262	0.9627	0.9606	0.9382	1.0259	0.9152	0.9420	0.9604	1.0272	0.9348	0.8285	0.9224	0.9759	1.0053	0.9254	0.9679	0.8796	0.8839	0.8962	0.8750	0.9527	0.9522	0.8480	1.0085	0.9630	0.9366	0.8817	0.9246	0.9679	0.9422	0.9287	0.9312	0.8504	0.9554	1.0777	0.9722	1.0115	0.9699	0.9759
QG37_07495	0.7727	0.8422	0.8193	0.8471	0.7482	0.8691	0.8495	0.8114	0.8904	0.7434	0.8591	0.8031	0.8085	0.8925	0.8477	0.8907	0.8359	0.8217	0.7933	0.8147	0.8766	0.9001	0.9081	0.8830	0.7904	0.7627	0.7218	0.7660	0.6573	0.7796	0.7673	0.7823	0.8200	0.8389	0.8479	0.8457	0.9378	0.9271	0.8884	0.8017	0.9226	0.7772	0.7952	0.8846	0.9052	0.8981	0.8598	0.9647
QG37_07496	0.7087	0.5379	0.3987	0.4843	0.4812	0.4514	0.5084	0.3835	0.4047	0.5097	0.4781	0.4086	0.5178	0.4450	0.4579	0.4287	0.4696	0.4465	0.5573	0.4761	0.4527	0.4307	0.4934	0.6044	0.5350	0.4159	0.4892	0.3744	0.3397	0.5111	0.4808	0.5007	0.4779	0.5102	0.3928	0.4795	0.4130	0.4930	0.4210	0.3858	0.5384	0.4976	0.3834	0.7762	0.7201	0.7134	0.6727	0.6967
QG37_07497	0.7951	0.8118	0.8522	0.7640	0.8185	0.8776	0.8738	0.7954	0.7621	0.8272	0.7789	0.6770	0.6876	0.8198	0.7866	0.7803	0.7400	0.8769	0.8060	0.8044	0.8572	0.7997	0.8176	0.8812	0.7983	0.8451	0.9066	0.7816	0.7916	0.9085	0.8578	0.7631	0.8025	0.9106	0.8426	0.7716	0.8392	0.9266	0.8258	0.8735	0.8086	0.8371	0.8494	0.7745	0.8016	0.9189	0.8108	0.8689
QG37_07498	0.9783	0.9883	0.9958	0.9575	0.9907	0.9488	0.9961	0.9454	0.9623	1.0069	0.9324	0.9541	0.9626	0.9562	0.9829	0.9565	0.9533	1.0305	0.9857	1.0140	0.9517	1.0611	1.0086	1.0210	1.0070	0.9544	1.0295	0.9426	0.9166	0.9345	1.0073	0.9358	1.0091	0.9920	1.0023	1.0002	0.9782	1.0466	1.0261	1.0149	0.9976	0.9810	1.0394	1.0197	1.0275	1.0181	1.0226	0.9752
QG37_07499	0.8930	0.7503	0.9692	0.6526	0.8358	0.7334	0.8910	0.7716	0.9492	0.7859	0.8991	0.7745	0.8689	0.7981	0.8747	0.8077	0.9253	0.7695	0.8348	0.7960	0.7304	0.7816	0.8545	0.8228	0.8660	0.8181	0.8394	0.6824	0.7113	1.0255	0.8009	0.8476	0.8629	0.8359	0.8142	0.8038	0.8149	0.8018	0.7779	0.7088	0.9311	0.9692	1.0093	0.7921	0.9890	0.8027	0.7168	0.7216
QG37_07500	0.7199	0.7365	0.7619	0.8247	0.7334	0.7556	0.8297	0.8534	0.8369	0.7590	0.9121	0.7722	0.7944	0.8765	0.7714	0.8630	0.7597	0.7399	0.8055	0.8330	0.7490	0.8036	0.7835	0.8202	0.7428	0.7277	0.8718	0.7265	0.7804	0.8239	0.7979	0.8058	0.7149	0.8516	0.7839	0.7842	0.8589	0.7709	0.9693	0.8651	0.9071	0.8132	0.7920	0.9021	0.7902	0.8551	0.8902	0.7963
QG37_07501	0.9653	1.0546	0.9129	0.9344	1.1299	1.0022	0.9506	0.7962	0.8364	1.0508	0.9580	0.7999	0.9096	0.9079	0.9958	0.9718	1.0750	0.8665	0.9930	1.0532	0.9545	1.1523	0.9193	0.9552	1.0097	0.8456	0.9542	0.9437	1.0535	0.9991	1.0326	0.9348	0.9623	0.8588	1.0926	0.9454	0.9476	0.7973	0.7868	0.7570	0.9240	0.9951	0.8884	0.6819	0.9278	0.7106	0.8098	0.7991
QG37_07502	1.0930	1.1178	1.0797	1.0326	1.2818	1.1173	1.0111	1.1621	1.1760	1.1532	1.0191	1.1773	1.1345	1.0699	1.1070	1.0035	1.1331	1.1235	1.1535	1.1749	1.1079	1.2436	1.1281	1.1342	1.2297	1.0349	1.1785	1.0105	1.0026	0.7860	1.2677	0.9651	1.1766	1.0164	1.1542	0.9354	1.3357	1.2483	0.9390	1.2300	1.1544	1.1510	0.9890	0.9825	1.1099	1.1142	1.2528	1.1532
QG37_07503	1.0573	1.0701	1.0534	1.0642	0.9295	1.0258	0.9057	1.0414	1.0949	0.8603	1.0125	0.9911	0.9169	0.9901	0.9997	0.8865	0.9379	1.1454	1.0511	1.0140	0.9794	1.1289	0.9690	1.1927	0.9337	0.9686	1.0632	1.0372	1.0035	0.8054	1.0675	1.0017	0.9789	1.0876	0.9350	0.9213	0.9992	1.1688	0.8551	0.9566	1.0458	0.9551	0.8802	1.0948	0.9302	0.9390	1.0135	0.9625
