GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04724	109.92	115.65	73.55	78.77	104.60	111.05	100.02	108.81	104.02	110.63	85.40	84.04	96.37	106.97	93.14	107.23	132.30	135.23	125.37	97.28	102.26	101.54	117.97	95.30	118.47	130.38	73.62	100.06	92.19	26.03	60.03	114.67	130.83	94.02	107.30	83.50	100.73	96.97	87.72	112.28	125.50	101.17	85.93	77.39	95.10	105.43	100.53	120.61
QG37_04725	110.56	109.67	60.03	67.87	92.16	104.05	87.55	93.80	106.72	93.25	65.90	80.01	88.15	82.47	82.86	83.92	122.82	124.03	111.62	97.82	109.42	98.57	122.62	77.35	109.41	127.85	75.46	103.12	73.68	21.43	59.98	111.58	113.60	87.22	88.07	83.25	81.83	101.01	76.53	105.50	109.04	96.77	84.54	84.23	92.79	97.49	92.47	138.74
QG37_04726	116.19	126.22	80.80	64.79	98.31	117.93	110.14	125.95	130.66	92.53	93.21	98.95	102.54	88.65	100.69	118.65	145.35	141.48	135.09	113.92	114.57	117.43	136.28	108.28	128.30	124.25	97.11	113.18	96.94	27.36	68.97	109.85	119.52	126.01	123.54	94.03	100.78	115.22	89.18	132.73	144.88	118.59	97.38	95.43	107.72	125.96	106.87	128.11
QG37_04727	102.45	113.92	70.42	63.46	94.40	102.52	100.33	102.15	118.73	93.70	84.28	80.60	96.38	81.98	98.43	96.81	128.68	118.80	125.34	101.57	104.51	103.79	118.05	93.85	96.79	108.74	82.18	111.30	93.49	24.81	59.31	106.39	122.08	117.80	103.21	100.88	95.74	98.93	81.44	121.00	120.76	117.52	88.59	87.86	108.53	109.54	94.60	111.94
QG37_04728	134.91	112.11	61.76	64.55	103.81	82.04	107.91	108.58	102.09	81.54	87.70	80.18	81.48	86.61	91.34	94.08	127.63	123.24	128.48	99.32	90.55	112.32	127.79	103.03	101.89	118.00	87.78	103.34	94.40	24.55	58.42	108.49	123.72	105.34	69.51	81.20	84.48	93.39	85.33	108.74	119.27	132.07	71.52	80.17	84.53	82.04	84.55	94.87
QG37_04729	119.29	113.69	69.29	64.95	104.89	115.60	95.88	123.43	105.57	103.92	94.01	90.76	88.06	104.88	92.05	108.34	127.45	143.65	133.88	106.55	120.36	111.28	128.05	93.57	117.93	131.01	83.86	120.42	96.30	27.63	69.06	112.02	139.70	117.06	110.28	88.29	98.75	107.57	94.06	112.46	135.66	122.07	77.20	94.71	112.08	106.01	89.63	122.17
QG37_04730	124.71	111.86	68.96	67.79	103.44	103.12	112.42	124.84	110.83	109.93	94.06	80.16	83.31	97.48	90.87	115.81	137.51	145.54	140.71	111.14	121.65	110.08	129.45	100.06	109.54	145.88	106.54	143.70	91.51	22.01	71.23	115.47	133.26	133.50	104.68	91.84	94.00	99.75	81.86	125.92	135.03	121.76	84.10	94.02	120.21	117.28	98.28	133.98
QG37_04731	115.41	102.77	70.28	69.33	96.79	91.66	110.73	108.74	109.21	99.63	90.56	82.75	85.77	97.38	90.39	110.17	123.19	136.21	124.49	104.61	116.43	110.51	125.81	99.49	110.40	129.95	92.42	107.65	91.52	27.07	53.17	112.93	119.41	112.41	90.05	88.08	92.32	107.28	79.03	116.14	132.19	116.10	81.16	78.71	104.59	98.21	88.09	115.80
QG37_04732	126.29	125.71	84.82	77.81	112.98	116.12	114.65	120.18	132.04	110.23	98.19	93.31	101.05	101.85	95.14	110.52	143.23	156.89	133.17	121.71	119.52	114.63	138.46	103.89	130.46	142.26	105.97	129.39	109.02	29.55	73.46	131.00	135.81	118.60	103.64	88.67	102.24	105.52	95.41	136.29	142.14	134.24	94.38	79.30	103.63	94.79	91.56	134.81
QG37_04733	105.38	124.69	57.61	64.04	92.81	100.17	80.53	102.11	103.01	103.23	70.23	95.90	88.41	78.86	90.21	98.69	128.44	114.19	131.60	100.33	104.75	94.20	108.02	94.83	104.49	97.38	74.50	118.73	94.48	33.17	58.55	92.11	113.21	92.99	78.68	66.39	75.49	74.17	67.22	104.37	88.80	90.40	67.15	27.79	34.84	36.37	32.05	48.13
