GENE	COVERAGE	STRAIN	GROUP
QG37_07313	1.2708	CDC_B11096	Pakistan
QG37_07313	1.2795	CDC_B11097	Pakistan
QG37_07313	1.2388	CDC_B11098	Pakistan
QG37_07313	1.2205	CDC_B11099	Pakistan
QG37_07313	1.1461	CDC_B11101	Pakistan
QG37_07313	1.1313	CDC_B11102	Pakistan
QG37_07313	1.0704	CDC_B11103	Pakistan
QG37_07313	1.0356	CDC_B11105	Pakistan
QG37_07313	1.0398	CDC_B11112	Pakistan
QG37_07313	1.0856	CDC_B11113	Pakistan
QG37_07313	1.0820	CDC_B11114	Pakistan
QG37_07313	1.1358	CDC_B11115	Pakistan
QG37_07313	1.1716	CDC_B11116	Pakistan
QG37_07313	1.0562	CDC_B11117	Pakistan
QG37_07313	1.1138	CDC_B11118	Pakistan
QG37_07313	1.0674	CDC_B11119	Pakistan
QG37_07313	1.0826	CDC_B11200	India
QG37_07313	1.1318	CDC_B11201	India
QG37_07313	1.1348	CDC_B11205	India
QG37_07313	1.1874	CDC_B11206	India
QG37_07313	1.0528	CDC_B11207	India
QG37_07313	1.0352	CDC_B11208	India
QG37_07313	1.0207	CDC_B11209	India
QG37_07313	1.1652	CDC_B11210	India
QG37_07313	1.0626	CDC_B11212	India
QG37_07313	1.1356	CDC_B11213	India
QG37_07313	1.2000	CDC_B11214	India
QG37_07313	1.2101	CDC_B11215	India
QG37_07313	1.2753	CDC_B11216	India
QG37_07313	1.0912	CDC_B11217	India
QG37_07313	1.0502	CDC_B11218	India
QG37_07313	1.1396	CDC_B11219	India
QG37_07313	1.1747	CDC_B11220	Japan
QG37_07313	1.0664	CDC_B11221	South Africa
QG37_07313	1.1630	CDC_B11222	South Africa
QG37_07313	1.0453	CDC_B11223	South Africa
QG37_07313	1.1414	CDC_B11224	South Africa
QG37_07313	1.0200	CDC_B11225	South Africa
QG37_07313	1.1156	CDC_B11226	South Africa
QG37_07313	1.0147	CDC_B11227	South Africa
QG37_07313	1.1751	CDC_B11228	South Africa
QG37_07313	1.0378	CDC_B11229	South Africa
QG37_07313	0.9690	CDC_B11230	South Africa
QG37_07313	1.0919	CDC_B11243	Venezuela
QG37_07313	1.1227	CDC_B11244	Venezuela
QG37_07313	1.0931	CDC_B11245	Venezuela
QG37_07313	1.1647	CDC_B11246	Venezuela
QG37_07313	1.1876	CDC_B11247	Venezuela
QG37_07314	1.1514	CDC_B11096	Pakistan
QG37_07314	1.1671	CDC_B11097	Pakistan
QG37_07314	1.1983	CDC_B11098	Pakistan
QG37_07314	1.1727	CDC_B11099	Pakistan
QG37_07314	1.1436	CDC_B11101	Pakistan
QG37_07314	1.1416	CDC_B11102	Pakistan
QG37_07314	1.0333	CDC_B11103	Pakistan
QG37_07314	1.1685	CDC_B11105	Pakistan
QG37_07314	1.0391	CDC_B11112	Pakistan
QG37_07314	1.0672	CDC_B11113	Pakistan
QG37_07314	1.2812	CDC_B11114	Pakistan
QG37_07314	1.0986	CDC_B11115	Pakistan
QG37_07314	1.0411	CDC_B11116	Pakistan
QG37_07314	1.0660	CDC_B11117	Pakistan
QG37_07314	0.9892	CDC_B11118	Pakistan
QG37_07314	0.9509	CDC_B11119	Pakistan
QG37_07314	1.0992	CDC_B11200	India
QG37_07314	1.0779	CDC_B11201	India
QG37_07314	1.0739	CDC_B11205	India
QG37_07314	1.1250	CDC_B11206	India
QG37_07314	1.0594	CDC_B11207	India
QG37_07314	1.0750	CDC_B11208	India
QG37_07314	1.0494	CDC_B11209	India
QG37_07314	0.9739	CDC_B11210	India
QG37_07314	0.9828	CDC_B11212	India
QG37_07314	0.9845	CDC_B11213	India
QG37_07314	1.1527	CDC_B11214	India
QG37_07314	1.1278	CDC_B11215	India
QG37_07314	1.0517	CDC_B11216	India
QG37_07314	1.1018	CDC_B11217	India
QG37_07314	1.1198	CDC_B11218	India
QG37_07314	1.0879	CDC_B11219	India
QG37_07314	1.0536	CDC_B11220	Japan
QG37_07314	1.1641	CDC_B11221	South Africa
QG37_07314	1.0234	CDC_B11222	South Africa
QG37_07314	1.0331	CDC_B11223	South Africa
QG37_07314	1.1378	CDC_B11224	South Africa
QG37_07314	1.0209	CDC_B11225	South Africa
QG37_07314	1.1620	CDC_B11226	South Africa
QG37_07314	0.9895	CDC_B11227	South Africa
QG37_07314	1.1179	CDC_B11228	South Africa
QG37_07314	1.0543	CDC_B11229	South Africa
QG37_07314	1.0656	CDC_B11230	South Africa
QG37_07314	1.0011	CDC_B11243	Venezuela
QG37_07314	1.1770	CDC_B11244	Venezuela
QG37_07314	1.0492	CDC_B11245	Venezuela
QG37_07314	0.9921	CDC_B11246	Venezuela
QG37_07314	1.0896	CDC_B11247	Venezuela
QG37_07315	1.2571	CDC_B11096	Pakistan
QG37_07315	1.1097	CDC_B11097	Pakistan
