GENE	COVERAGE	STRAIN	GROUP
QG37_04724	0.8696	CDC_B11096	Pakistan
QG37_04724	0.8747	CDC_B11097	Pakistan
QG37_04724	0.9725	CDC_B11098	Pakistan
QG37_04724	1.0277	CDC_B11099	Pakistan
QG37_04724	0.8862	CDC_B11101	Pakistan
QG37_04724	0.9563	CDC_B11102	Pakistan
QG37_04724	0.8639	CDC_B11103	Pakistan
QG37_04724	0.9242	CDC_B11105	Pakistan
QG37_04724	0.8010	CDC_B11112	Pakistan
QG37_04724	0.9599	CDC_B11113	Pakistan
QG37_04724	0.8983	CDC_B11114	Pakistan
QG37_04724	0.8132	CDC_B11115	Pakistan
QG37_04724	0.9134	CDC_B11116	Pakistan
QG37_04724	0.9949	CDC_B11117	Pakistan
QG37_04724	0.8711	CDC_B11118	Pakistan
QG37_04724	0.9149	CDC_B11119	Pakistan
QG37_04724	0.8965	CDC_B11200	India
QG37_04724	0.8710	CDC_B11201	India
QG37_04724	0.9018	CDC_B11205	India
QG37_04724	0.8030	CDC_B11206	India
QG37_04724	0.8498	CDC_B11207	India
QG37_04724	0.8168	CDC_B11208	India
QG37_04724	0.8675	CDC_B11209	India
QG37_04724	0.8782	CDC_B11210	India
QG37_04724	0.9245	CDC_B11212	India
QG37_04724	0.8566	CDC_B11213	India
QG37_04724	0.7011	CDC_B11214	India
QG37_04724	0.7322	CDC_B11215	India
QG37_04724	0.8180	CDC_B11216	India
QG37_04724	0.7890	CDC_B11217	India
QG37_04724	0.7827	CDC_B11218	India
QG37_04724	0.8731	CDC_B11219	India
QG37_04724	0.9495	CDC_B11220	Japan
QG37_04724	0.7756	CDC_B11221	South Africa
QG37_04724	0.9597	CDC_B11222	South Africa
QG37_04724	0.8880	CDC_B11223	South Africa
QG37_04724	0.9323	CDC_B11224	South Africa
QG37_04724	0.8470	CDC_B11225	South Africa
QG37_04724	0.9389	CDC_B11226	South Africa
QG37_04724	0.8949	CDC_B11227	South Africa
QG37_04724	0.8964	CDC_B11228	South Africa
QG37_04724	0.7799	CDC_B11229	South Africa
QG37_04724	0.8647	CDC_B11230	South Africa
QG37_04724	0.8515	CDC_B11243	Venezuela
QG37_04724	0.8237	CDC_B11244	Venezuela
QG37_04724	0.9239	CDC_B11245	Venezuela
QG37_04724	0.9906	CDC_B11246	Venezuela
QG37_04724	0.8459	CDC_B11247	Venezuela
QG37_04725	0.8747	CDC_B11096	Pakistan
QG37_04725	0.8295	CDC_B11097	Pakistan
QG37_04725	0.7937	CDC_B11098	Pakistan
QG37_04725	0.8855	CDC_B11099	Pakistan
QG37_04725	0.7808	CDC_B11101	Pakistan
QG37_04725	0.8961	CDC_B11102	Pakistan
QG37_04725	0.7562	CDC_B11103	Pakistan
QG37_04725	0.7967	CDC_B11105	Pakistan
QG37_04725	0.8218	CDC_B11112	Pakistan
QG37_04725	0.8091	CDC_B11113	Pakistan
QG37_04725	0.6932	CDC_B11114	Pakistan
QG37_04725	0.7742	CDC_B11115	Pakistan
QG37_04725	0.8355	CDC_B11116	Pakistan
QG37_04725	0.7670	CDC_B11117	Pakistan
QG37_04725	0.7750	CDC_B11118	Pakistan
QG37_04725	0.7160	CDC_B11119	Pakistan
QG37_04725	0.8322	CDC_B11200	India
QG37_04725	0.7989	CDC_B11201	India
QG37_04725	0.8029	CDC_B11205	India
QG37_04725	0.8075	CDC_B11206	India
QG37_04725	0.9093	CDC_B11207	India
QG37_04725	0.7929	CDC_B11208	India
QG37_04725	0.9017	CDC_B11209	India
QG37_04725	0.7128	CDC_B11210	India
QG37_04725	0.8538	CDC_B11212	India
QG37_04725	0.8400	CDC_B11213	India
QG37_04725	0.7186	CDC_B11214	India
QG37_04725	0.7546	CDC_B11215	India
QG37_04725	0.6538	CDC_B11216	India
QG37_04725	0.6496	CDC_B11217	India
QG37_04725	0.7820	CDC_B11218	India
QG37_04725	0.8496	CDC_B11219	India
QG37_04725	0.8244	CDC_B11220	Japan
QG37_04725	0.7195	CDC_B11221	South Africa
QG37_04725	0.7877	CDC_B11222	South Africa
QG37_04725	0.8854	CDC_B11223	South Africa
QG37_04725	0.7574	CDC_B11224	South Africa
QG37_04725	0.8823	CDC_B11225	South Africa
QG37_04725	0.8191	CDC_B11226	South Africa
QG37_04725	0.8409	CDC_B11227	South Africa
QG37_04725	0.7789	CDC_B11228	South Africa
QG37_04725	0.7459	CDC_B11229	South Africa
QG37_04725	0.8508	CDC_B11230	South Africa
QG37_04725	0.9267	CDC_B11243	Venezuela
QG37_04725	0.8037	CDC_B11244	Venezuela
QG37_04725	0.8543	CDC_B11245	Venezuela
QG37_04725	0.9112	CDC_B11246	Venezuela
QG37_04725	0.9731	CDC_B11247	Venezuela
QG37_04726	0.9192	CDC_B11096	Pakistan
QG37_04726	0.9546	CDC_B11097	Pakistan
QG37_04726	1.0684	CDC_B11098	Pakistan
QG37_04726	0.8453	CDC_B11099	Pakistan
QG37_04726	0.8329	CDC_B11101	Pakistan
QG37_04726	1.0156	CDC_B11102	Pakistan
QG37_04726	0.9513	CDC_B11103	Pakistan
QG37_04726	1.0697	CDC_B11105	Pakistan
QG37_04726	1.0062	CDC_B11112	Pakistan
QG37_04726	0.8029	CDC_B11113	Pakistan
QG37_04726	0.9804	CDC_B11114	Pakistan
QG37_04726	0.9575	CDC_B11115	Pakistan
QG37_04726	0.9719	CDC_B11116	Pakistan
QG37_04726	0.8245	CDC_B11117	Pakistan
QG37_04726	0.9417	CDC_B11118	Pakistan
QG37_04726	1.0124	CDC_B11119	Pakistan
QG37_04726	0.9849	CDC_B11200	India
QG37_04726	0.9112	CDC_B11201	India
QG37_04726	0.9717	CDC_B11205	India
QG37_04726	0.9404	CDC_B11206	India
QG37_04726	0.9521	CDC_B11207	India
QG37_04726	0.9446	CDC_B11208	India
QG37_04726	1.0021	CDC_B11209	India
QG37_04726	0.9978	CDC_B11210	India
QG37_04726	1.0012	CDC_B11212	India
QG37_04726	0.8164	CDC_B11213	India
QG37_04726	0.9248	CDC_B11214	India
QG37_04726	0.8282	CDC_B11215	India
QG37_04726	0.8602	CDC_B11216	India
QG37_04726	0.8293	CDC_B11217	India
QG37_04726	0.8992	CDC_B11218	India
QG37_04726	0.8364	CDC_B11219	India
QG37_04726	0.8674	CDC_B11220	Japan
QG37_04726	1.0395	CDC_B11221	South Africa
QG37_04726	1.1049	CDC_B11222	South Africa
QG37_04726	1.0000	CDC_B11223	South Africa
QG37_04726	0.9328	CDC_B11224	South Africa
QG37_04726	1.0065	CDC_B11225	South Africa
QG37_04726	0.9545	CDC_B11226	South Africa
QG37_04726	1.0579	CDC_B11227	South Africa
QG37_04726	1.0349	CDC_B11228	South Africa
QG37_04726	0.9141	CDC_B11229	South Africa
QG37_04726	0.9800	CDC_B11230	South Africa
QG37_04726	1.0500	CDC_B11243	Venezuela
QG37_04726	0.9330	CDC_B11244	Venezuela
QG37_04726	1.1038	CDC_B11245	Venezuela
QG37_04726	1.0531	CDC_B11246	Venezuela
QG37_04726	0.8985	CDC_B11247	Venezuela
QG37_04727	0.8105	CDC_B11096	Pakistan
QG37_04727	0.8616	CDC_B11097	Pakistan
QG37_04727	0.9311	CDC_B11098	Pakistan
QG37_04727	0.8279	CDC_B11099	Pakistan
QG37_04727	0.7998	CDC_B11101	Pakistan
QG37_04727	0.8829	CDC_B11102	Pakistan
QG37_04727	0.8666	CDC_B11103	Pakistan
QG37_04727	0.8676	CDC_B11105	Pakistan
QG37_04727	0.9143	CDC_B11112	Pakistan
QG37_04727	0.8130	CDC_B11113	Pakistan
QG37_04727	0.8865	CDC_B11114	Pakistan
QG37_04727	0.7799	CDC_B11115	Pakistan
QG37_04727	0.9135	CDC_B11116	Pakistan
QG37_04727	0.7625	CDC_B11117	Pakistan
QG37_04727	0.9206	CDC_B11118	Pakistan
QG37_04727	0.8260	CDC_B11119	Pakistan
QG37_04727	0.8719	CDC_B11200	India
QG37_04727	0.7652	CDC_B11201	India
QG37_04727	0.9016	CDC_B11205	India
QG37_04727	0.8385	CDC_B11206	India
QG37_04727	0.8685	CDC_B11207	India
QG37_04727	0.8349	CDC_B11208	India
QG37_04727	0.8681	CDC_B11209	India
QG37_04727	0.8648	CDC_B11210	India
QG37_04727	0.7553	CDC_B11212	India
QG37_04727	0.7145	CDC_B11213	India
QG37_04727	0.7826	CDC_B11214	India
QG37_04727	0.8144	CDC_B11215	India
QG37_04727	0.8295	CDC_B11216	India
QG37_04727	0.7520	CDC_B11217	India
QG37_04727	0.7733	CDC_B11218	India
QG37_04727	0.8100	CDC_B11219	India
QG37_04727	0.8860	CDC_B11220	Japan
QG37_04727	0.9718	CDC_B11221	South Africa
QG37_04727	0.9231	CDC_B11222	South Africa
QG37_04727	1.0728	CDC_B11223	South Africa
QG37_04727	0.8862	CDC_B11224	South Africa
QG37_04727	0.8642	CDC_B11225	South Africa
QG37_04727	0.8717	CDC_B11226	South Africa
QG37_04727	0.9645	CDC_B11227	South Africa
QG37_04727	0.8626	CDC_B11228	South Africa
QG37_04727	0.9059	CDC_B11229	South Africa
QG37_04727	0.8915	CDC_B11230	South Africa
QG37_04727	0.9667	CDC_B11243	Venezuela
QG37_04727	0.9401	CDC_B11244	Venezuela
QG37_04727	0.9599	CDC_B11245	Venezuela
QG37_04727	0.9322	CDC_B11246	Venezuela
QG37_04727	0.7851	CDC_B11247	Venezuela
QG37_04728	1.0673	CDC_B11096	Pakistan
QG37_04728	0.8479	CDC_B11097	Pakistan
QG37_04728	0.8166	CDC_B11098	Pakistan
QG37_04728	0.8421	CDC_B11099	Pakistan
QG37_04728	0.8795	CDC_B11101	Pakistan
QG37_04728	0.7065	CDC_B11102	Pakistan
QG37_04728	0.9320	CDC_B11103	Pakistan
QG37_04728	0.9222	CDC_B11105	Pakistan
QG37_04728	0.7862	CDC_B11112	Pakistan
QG37_04728	0.7075	CDC_B11113	Pakistan
QG37_04728	0.9225	CDC_B11114	Pakistan
QG37_04728	0.7759	CDC_B11115	Pakistan
QG37_04728	0.7722	CDC_B11116	Pakistan
QG37_04728	0.8055	CDC_B11117	Pakistan
QG37_04728	0.8543	CDC_B11118	Pakistan
QG37_04728	0.8027	CDC_B11119	Pakistan
QG37_04728	0.8648	CDC_B11200	India
QG37_04728	0.7938	CDC_B11201	India
QG37_04728	0.9242	CDC_B11205	India
QG37_04728	0.8199	CDC_B11206	India
QG37_04728	0.7525	CDC_B11207	India
QG37_04728	0.9035	CDC_B11208	India
QG37_04728	0.9397	CDC_B11209	India
QG37_04728	0.9494	CDC_B11210	India
QG37_04728	0.7951	CDC_B11212	India
QG37_04728	0.7753	CDC_B11213	India
QG37_04728	0.8359	CDC_B11214	India
QG37_04728	0.7562	CDC_B11215	India
QG37_04728	0.8376	CDC_B11216	India
QG37_04728	0.7442	CDC_B11217	India
QG37_04728	0.7617	CDC_B11218	India
QG37_04728	0.8260	CDC_B11219	India
QG37_04728	0.8979	CDC_B11220	Japan
QG37_04728	0.8690	CDC_B11221	South Africa
QG37_04728	0.6217	CDC_B11222	South Africa
QG37_04728	0.8636	CDC_B11223	South Africa
QG37_04728	0.7819	CDC_B11224	South Africa
QG37_04728	0.8158	CDC_B11225	South Africa
QG37_04728	0.9133	CDC_B11226	South Africa
QG37_04728	0.8667	CDC_B11227	South Africa
QG37_04728	0.8519	CDC_B11228	South Africa
QG37_04728	1.0180	CDC_B11229	South Africa
QG37_04728	0.7197	CDC_B11230	South Africa
QG37_04728	0.8821	CDC_B11243	Venezuela
QG37_04728	0.7322	CDC_B11244	Venezuela
QG37_04728	0.7189	CDC_B11245	Venezuela
QG37_04728	0.8332	CDC_B11246	Venezuela
QG37_04728	0.6654	CDC_B11247	Venezuela
QG37_04729	0.9437	CDC_B11096	Pakistan
QG37_04729	0.8599	CDC_B11097	Pakistan
QG37_04729	0.9162	CDC_B11098	Pakistan
QG37_04729	0.8474	CDC_B11099	Pakistan
QG37_04729	0.8887	CDC_B11101	Pakistan
QG37_04729	0.9955	CDC_B11102	Pakistan
QG37_04729	0.8281	CDC_B11103	Pakistan
QG37_04729	1.0483	CDC_B11105	Pakistan
QG37_04729	0.8130	CDC_B11112	Pakistan
QG37_04729	0.9017	CDC_B11113	Pakistan
QG37_04729	0.9889	CDC_B11114	Pakistan
QG37_04729	0.8783	CDC_B11115	Pakistan
QG37_04729	0.8346	CDC_B11116	Pakistan
QG37_04729	0.9754	CDC_B11117	Pakistan
QG37_04729	0.8609	CDC_B11118	Pakistan
QG37_04729	0.9244	CDC_B11119	Pakistan
QG37_04729	0.8636	CDC_B11200	India
QG37_04729	0.9252	CDC_B11201	India
QG37_04729	0.9630	CDC_B11205	India
QG37_04729	0.8796	CDC_B11206	India
QG37_04729	1.0002	CDC_B11207	India
QG37_04729	0.8951	CDC_B11208	India
QG37_04729	0.9416	CDC_B11209	India
QG37_04729	0.8622	CDC_B11210	India
QG37_04729	0.9203	CDC_B11212	India
QG37_04729	0.8608	CDC_B11213	India
QG37_04729	0.7986	CDC_B11214	India
QG37_04729	0.8812	CDC_B11215	India
QG37_04729	0.8545	CDC_B11216	India
QG37_04729	0.8375	CDC_B11217	India
QG37_04729	0.9004	CDC_B11218	India
QG37_04729	0.8529	CDC_B11219	India
QG37_04729	1.0139	CDC_B11220	Japan
QG37_04729	0.9657	CDC_B11221	South Africa
QG37_04729	0.9863	CDC_B11222	South Africa
QG37_04729	0.9390	CDC_B11223	South Africa
