GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_06711	0.5627	0.7950	0.7485	0.7888	0.8066	0.7655	0.6954	0.7494	0.9678	0.7335	0.7186	0.6828	0.9131	0.7560	0.9342	0.8283	0.7590	0.6199	0.7105	0.8020	0.7539	0.7656	0.7270	0.6854	0.9014	0.7026	0.5993	0.6627	0.6651	0.5896	0.7460	0.6283	1.4881	0.7811	0.7019	0.7106	0.7840	0.6015	0.8081	0.7166	0.6472	0.6885	0.7959	0.8789	0.7887	0.8091	0.7207	0.9199
QG37_06712	0.7835	0.5695	0.6143	0.4324	0.5700	0.5513	0.7011	0.5124	0.5954	0.5452	0.7007	0.4734	0.5738	0.5546	0.4776	0.6355	0.4768	0.5699	0.5107	0.4785	0.5786	0.5974	0.5370	0.5363	0.5858	0.5897	0.4756	0.4955	0.4390	0.4717	0.6379	0.5114	1.1035	0.5758	0.6939	0.5629	0.5775	0.6032	0.5993	0.6296	0.7609	0.6601	0.7799	0.6374	0.5693	0.4621	0.7359	0.5720
QG37_06713	0.9722	0.9707	0.9531	0.9495	0.9496	0.9927	0.9785	1.0028	0.9662	0.9646	0.9755	0.8934	0.9692	0.9907	0.9468	0.9373	0.9729	0.9805	0.9120	1.0113	1.0050	0.9564	0.9527	0.9540	0.9703	0.9286	0.9351	0.9055	0.8925	0.8536	1.0220	0.9097	1.6209	0.9295	0.9071	0.9806	0.9687	0.9482	1.0096	0.9614	0.9349	0.8931	0.8938	0.9180	0.8896	0.9579	0.9877	0.9631
QG37_06714	0.7858	0.8952	0.6421	0.8397	0.9150	0.8804	0.8178	0.8666	0.8176	0.9095	0.7985	0.7411	0.8755	0.9136	0.8111	1.0718	0.8905	0.9196	0.8097	0.7614	0.8748	0.8801	0.8195	0.8946	0.8193	0.8928	0.8426	0.8302	0.7942	0.8569	0.6471	0.7586	0.8236	0.8038	0.9568	0.8346	0.8592	0.8606	0.8789	0.8167	0.8169	0.7809	0.8782	0.9782	0.8008	0.9528	0.9237	0.8065
QG37_06715	1.1726	0.9698	1.0616	0.9761	0.9658	0.9383	0.9463	1.0268	0.8364	0.9671	0.9497	1.0412	0.9445	0.8930	0.9560	0.9427	0.9946	0.9432	0.9220	0.8929	0.9376	0.8850	0.8751	0.9877	0.9748	0.9554	0.9648	0.9725	0.9032	0.6011	0.9817	0.8937	0.9267	0.8850	0.9304	1.0388	0.9821	0.8936	1.0470	0.9955	0.9053	0.8791	0.9687	0.7238	0.9270	0.9092	0.8991	1.0325
QG37_06716	1.1131	0.9210	1.0993	0.9845	1.0495	0.9445	1.0516	0.9106	1.0578	0.9835	1.0067	0.9605	1.1008	1.0516	1.0707	1.0390	0.9675	1.0457	0.9619	1.0129	0.9765	0.9510	0.8848	1.0317	0.9273	0.9476	0.9283	0.8764	0.9615	0.9430	0.8960	0.9734	1.0128	1.0308	1.0275	1.0166	0.9259	0.9729	0.9051	1.0783	1.0019	0.9667	0.9040	1.0051	0.9984	1.0344	1.0622	1.0177
QG37_06717	1.0508	1.0438	0.9848	1.0543	0.8262	0.9302	0.8491	0.8171	0.8993	0.8804	1.1248	0.9609	0.9116	1.1645	0.9128	0.8218	0.9619	0.8829	0.7607	0.9619	0.9550	0.8531	0.8890	0.9262	0.8698	0.9554	1.0257	0.8775	0.8641	0.9785	0.8468	0.9115	0.8473	0.9605	0.8881	0.9077	0.8440	0.8458	0.8153	0.9208	0.8664	0.8848	0.8635	0.8454	0.8905	1.0051	0.9172	0.9474
QG37_06718	0.5572	0.5809	0.5906	0.5541	0.5355	0.5560	0.5841	0.5044	0.5368	0.5387	0.6386	0.5980	0.6142	0.5811	0.5484	0.5217	0.5432	0.5365	0.6196	0.5778	0.5188	0.5698	0.5150	0.4288	0.4870	0.5359	0.6199	0.5721	0.4556	0.4041	0.4241	0.5944	0.5177	0.5314	0.5694	0.5782	0.5594	0.4762	0.4596	0.5176	0.6079	0.5531	0.6143	0.3717	0.5206	0.5240	0.4812	0.4427
QG37_06719	0.8796	1.1001	1.1415	1.2026	1.0714	1.0777	1.1815	1.0417	0.9282	0.9794	0.9141	0.8805	1.0715	0.9913	1.0823	0.8590	0.9141	0.9939	0.9963	1.0441	1.0101	1.0780	0.8846	0.9179	1.0329	0.8984	0.9363	0.9011	0.7893	0.5480	0.8855	0.9092	1.0284	0.9057	0.8553	0.9235	1.0984	1.1081	0.9103	0.9758	0.9414	0.8128	0.8332	0.9349	0.9411	0.9682	0.9912	0.9425
QG37_06720	1.0102	0.9486	1.0508	0.9446	0.9679	1.1213	1.0027	0.9552	0.9681	0.8969	0.9856	0.8986	1.0104	1.0411	1.0840	0.8449	0.9526	0.9610	1.0269	1.0164	0.9410	0.9468	0.8443	0.8569	0.9700	0.9267	0.9007	0.9308	0.8673	0.8636	1.0269	0.8732	1.0987	0.8961	0.9741	0.7872	1.0613	1.0618	0.9979	0.8839	0.9523	0.8680	0.8758	0.7443	0.8227	0.8535	0.8849	0.9014
