GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04907	0.4041	0.5235	0.5065	0.6445	0.5505	0.6112	0.4725	0.5882	0.5467	0.5382	0.4216	0.4639	0.4979	0.5422	0.5369	0.5283	0.5348	0.6715	0.6493	0.5111	0.5427	0.6170	0.6578	0.7316	0.5404	0.4438	0.5698	0.4984	0.4369	0.5020	0.6662	0.5228	0.5857	0.6388	0.5899	0.6462	0.6274	0.5587	0.6617	0.6286	0.6038	0.5393	0.5805	0.5569	0.6424	0.5528	0.5788	0.6750
QG37_04908	0.8035	0.8290	0.7050	0.7922	0.6448	0.7713	0.7615	0.8284	0.7865	0.7126	0.8332	0.7303	0.8189	0.8178	0.8245	0.8492	0.8046	0.7885	0.8994	0.7370	0.7828	0.8804	0.7823	0.8130	0.7635	0.7028	0.7452	0.7059	0.7192	0.7281	0.7545	0.7497	0.9094	0.8266	0.9225	0.8037	0.7624	0.8176	0.7933	0.7476	0.7609	0.6709	0.7401	0.9088	0.8178	0.8412	0.9767	1.0124
QG37_04909	0.7354	0.7171	0.6934	0.8107	0.7285	0.8237	0.7437	0.7659	0.7933	0.8240	0.8851	0.7010	0.8122	0.8757	0.8121	0.9369	0.7179	0.8185	0.9109	0.6923	0.8526	0.9251	0.8130	0.9022	0.8400	0.9523	0.7789	0.7486	0.6794	0.8096	0.9193	0.8250	0.9106	0.9022	0.7732	0.8213	0.8209	0.8640	0.8077	0.8743	0.8929	0.8525	0.8183	0.9209	0.8539	0.9450	0.8889	0.9421
QG37_04910	0.6999	0.7783	0.7594	0.8204	0.6905	0.7004	0.8096	0.8414	0.8173	0.7026	0.6784	0.7920	0.8058	0.7872	0.7560	0.7544	0.8067	0.8512	0.8161	0.7339	0.7996	0.8257	0.7295	0.8785	0.6819	0.7008	0.7371	0.7574	0.6482	0.9230	0.8450	0.7096	0.7924	0.7759	0.8477	0.7759	0.6893	0.7358	0.8590	0.7578	0.9122	0.8013	0.7759	0.9210	0.7087	0.8030	0.8638	0.8672
QG37_04911	0.8382	0.7871	0.8550	0.7750	0.6899	0.6426	0.7627	0.8725	0.7759	0.7228	0.7877	0.7147	0.7987	0.7481	0.8327	0.9391	0.8813	0.7535	0.8432	0.7278	0.8682	0.7801	0.8453	0.8155	0.8812	0.8020	0.7774	0.7857	0.7225	0.6602	0.7596	0.8385	0.7620	0.8002	0.8185	0.7467	0.7888	0.8958	0.8345	0.8372	0.8861	0.8139	0.8163	0.8640	0.8643	0.8199	0.8058	0.9482
QG37_04912	0.9408	0.8292	0.7711	0.8860	0.8799	0.7507	0.8726	0.8416	0.7527	0.6980	0.7635	0.7364	0.7231	0.8771	0.8009	0.8654	0.8212	0.8540	0.9730	0.7950	0.8809	0.8135	0.7887	0.9713	0.8563	0.7587	0.8264	0.8588	0.7065	0.6635	0.7279	0.7396	0.7819	0.7407	0.8506	0.8323	0.8235	0.8083	0.8340	0.8807	0.8600	0.8702	0.8764	0.8448	0.9286	0.8923	1.0203	0.8505
QG37_04913	0.8498	0.7824	0.6767	0.8656	0.7158	0.7218	0.8243	0.8370	0.8434	0.7350	0.6180	0.8105	0.8341	0.8389	0.8446	0.8864	0.7785	0.8305	0.8773	0.9417	0.9147	0.8211	0.8112	1.0311	0.7542	0.8745	0.8479	0.9008	0.7586	1.0561	1.0984	0.7583	0.9761	0.9291	0.8700	0.7860	0.9843	1.0326	0.7970	0.9540	0.7925	0.7673	1.0321	0.8934	0.7180	0.7624	0.9788	0.9160
QG37_04914	0.9199	0.8998	0.8692	0.9511	0.8069	0.8229	0.9152	0.8690	0.7918	0.8203	0.8166	0.8764	0.8353	1.0275	0.9628	0.8955	0.9471	0.9049	0.8812	0.8855	0.8606	0.9134	0.8055	0.8629	1.0002	0.8947	0.8016	0.8570	0.7169	0.8736	0.9781	0.8712	0.8415	0.9115	0.8704	0.8806	0.8319	0.8590	0.9221	0.7786	0.9221	0.8893	0.9345	0.9216	0.9627	0.8291	1.0253	0.8798
QG37_04915	0.9584	0.8368	0.8260	0.7970	0.9035	0.8336	0.7566	0.7794	0.8449	0.8793	0.8606	0.8317	0.8381	0.8015	0.9963	0.9605	0.9078	0.9530	0.9058	0.8918	0.9334	0.8873	0.9685	0.8529	0.8997	0.8027	0.9158	0.8026	0.6895	0.8218	0.7913	0.8093	0.9120	0.8128	0.9217	0.8930	0.9907	0.8710	0.9156	0.9228	0.9404	0.8052	0.8846	0.9716	0.9382	1.0457	0.9157	1.0177
QG37_04916	0.8812	0.8651	1.0471	0.9271	0.9972	0.9544	0.8665	1.0069	1.0263	1.0416	1.0146	1.0212	0.9556	0.9684	0.8964	0.9373	1.0222	1.0218	1.1032	1.0404	0.9935	1.1129	1.1693	1.1133	1.1567	0.9275	0.9396	0.9933	1.0191	0.9263	0.9867	0.9280	0.9837	0.8780	1.0380	1.0046	1.0504	1.1682	0.9297	1.0111	1.0529	1.1451	1.0197	1.0713	1.0688	1.0733	1.1357	0.9860
