GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_05151	0.1624	0.3628	0.4671	0.4805	0.4047	0.3943	0.3918	0.3123	0.3535	0.4305	0.3370	0.4466	0.3710	0.3460	0.4865	0.3889	0.3770	0.3459	0.3482	0.4914	0.2992	0.3906	0.3480	0.2957	0.3397	0.3206	0.4226	0.4672	0.3856	0.4201	0.3528	0.4152	0.4203	0.4272	0.4127	0.4036	0.4133	0.3758	0.4270	0.4441	0.4395	0.4366	0.4389	0.4105	0.3778	0.4288	0.4109	0.5001
QG37_05152	0.8527	0.8500	0.8612	0.8947	0.8259	0.8710	0.8781	0.9047	0.7674	0.9230	0.8213	0.8778	0.8946	0.9697	0.9035	0.8253	0.9214	0.8992	0.8860	0.8843	0.7705	0.8378	0.8512	0.8687	0.8989	0.7562	0.8927	0.8026	0.8242	0.7436	0.7787	0.8403	0.9036	0.7227	0.9071	0.8543	0.8987	0.8153	0.9287	0.8785	0.8309	0.8189	0.9148	0.9043	0.8832	0.9101	1.0414	0.9087
QG37_05153	1.0488	1.0414	1.0070	0.9217	0.9096	0.8901	0.9133	0.9621	1.0166	0.9716	1.0914	0.9859	0.9719	1.0254	0.8375	1.0608	0.9389	0.9939	0.9687	1.0096	0.9452	1.0993	0.9321	0.9771	1.0648	0.9258	0.9991	1.0328	0.9682	0.8587	1.0662	0.9648	0.9764	0.9827	1.0831	0.9339	0.9323	1.0850	1.0882	0.9558	0.9750	1.0234	1.0606	1.0089	1.1022	1.0551	1.0054	1.0357
QG37_05154	1.0112	0.9964	0.8700	0.9460	1.0065	0.9245	0.8930	0.9007	0.9379	0.9221	0.9233	0.9674	0.9545	0.8726	0.9950	0.9550	0.9311	0.9914	0.9654	0.9597	0.9804	0.9743	0.9566	0.9890	0.9785	0.9175	0.9394	0.8909	0.9447	0.8190	0.9018	0.8999	0.9694	0.9964	1.0165	0.9524	0.9918	1.0022	0.9543	1.0144	0.9717	1.0150	0.8925	0.9912	0.9460	0.9862	0.9445	0.9886
QG37_05155	0.9672	0.8637	0.7931	0.8320	0.8729	0.8848	0.8774	0.9015	0.8686	0.9246	0.9064	0.8377	0.8490	0.8836	0.8195	0.8619	0.7973	0.9315	0.8996	0.8273	0.8752	0.9538	0.9943	1.0061	0.8570	0.7743	0.9087	0.8161	0.8238	0.6917	0.8043	0.8760	0.9075	0.9277	0.8617	0.8744	0.8459	0.8197	0.8611	0.8869	0.8927	0.9060	0.8055	0.9025	0.9305	0.9348	0.9557	0.8688
QG37_05156	0.8912	0.9158	1.0257	0.9211	0.9182	0.8595	0.7751	0.8811	0.8525	0.8756	0.8411	0.8852	0.9454	0.9905	0.8696	0.9237	0.9381	0.9335	1.0137	0.9789	0.9352	0.9149	0.8740	0.9311	0.8820	0.8911	0.9001	0.9259	0.8883	1.0524	0.9417	0.9396	0.8858	0.9053	1.0581	1.0065	0.9509	0.8831	0.8553	0.9369	0.9052	0.9036	0.9703	0.8865	0.8686	0.9905	0.8904	0.9323
QG37_05157	0.9387	0.8261	0.8011	0.8943	0.8506	0.7812	0.7725	0.8917	0.9109	1.0370	1.0054	0.9604	0.9590	0.9840	0.8551	1.0201	0.8360	0.9742	0.9477	1.0939	0.9870	1.0068	0.8923	0.9480	1.0037	0.9145	0.9566	1.0127	0.9384	0.8012	0.9761	1.0862	0.9582	1.0280	1.0105	1.1014	0.9194	1.0183	0.8588	0.9318	0.9016	0.9174	0.8933	0.9903	0.9316	0.9770	0.9983	0.9952
QG37_05158	0.8841	0.6871	0.9201	0.8536	0.9058	0.8551	0.7902	0.8994	0.8767	0.8792	0.9292	0.8317	0.8044	0.8401	0.9002	0.8771	0.9362	0.8619	0.8317	0.9263	0.8149	0.8594	0.8712	0.8420	0.9241	0.8869	0.8814	0.8417	0.9218	1.6487	1.2050	0.9059	0.9058	0.8832	0.9500	0.9162	0.8467	0.9005	0.9722	0.8859	0.9919	0.8626	0.8863	0.8290	0.8971	0.9452	0.8153	0.8864
QG37_05159	0.9736	1.1182	0.9203	0.8667	0.9510	1.0443	0.9354	0.8565	0.9605	0.9105	0.9806	1.0047	0.9740	0.9585	1.0025	1.0480	1.0789	0.9896	1.0275	0.9901	0.9576	0.9877	0.9404	0.9364	1.1334	1.0341	0.8659	0.9690	0.9169	0.8942	0.7926	0.9259	0.8724	0.9957	0.9356	1.0100	0.9257	1.0204	0.9948	0.9491	0.9883	0.8538	0.9936	1.2005	0.9457	1.0556	1.0063	1.0837
QG37_05160	0.9873	0.9036	0.7839	0.9971	0.8849	0.9954	0.8970	0.9383	0.9722	0.8725	0.9941	0.8437	0.8603	1.1420	0.9149	0.8516	0.8669	1.0026	0.8763	0.9783	0.8498	0.9966	0.9202	0.8818	0.9326	0.9735	0.9117	0.9031	0.8067	0.8263	0.8890	0.8426	0.9885	0.9049	0.9943	0.9142	0.8513	0.8868	0.8750	0.8704	0.9231	0.9463	0.8455	1.0200	0.9341	0.9324	0.8971	0.9851
