GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04098	126.01	122.74	74.16	77.95	119.55	117.21	116.85	120.97	125.67	109.85	95.31	96.56	101.80	104.48	105.92	121.40	140.15	146.71	134.42	116.04	117.42	123.14	120.20	103.48	120.29	149.42	104.66	131.56	100.66	32.27	76.91	124.08	137.16	122.56	110.56	94.45	107.70	112.97	93.28	128.54	144.92	125.30	95.89	94.29	115.47	113.98	101.12	138.99
QG37_04099	110.83	119.75	72.13	70.50	104.63	108.19	110.05	104.52	129.75	108.68	81.01	95.25	98.36	101.60	99.11	111.41	129.30	140.26	130.94	111.77	113.93	118.34	124.81	99.48	119.19	130.34	99.33	128.38	101.06	28.33	66.33	116.41	127.30	113.48	108.36	88.82	101.99	106.87	90.43	118.62	131.12	130.58	87.08	92.04	110.69	117.91	94.47	139.27
QG37_04100	104.76	108.34	68.78	59.30	100.92	102.60	105.48	97.61	116.95	93.11	84.47	74.31	91.55	89.21	91.80	86.98	136.08	137.62	127.34	95.76	112.88	97.54	128.21	100.60	123.42	128.30	96.65	121.11	91.60	30.57	67.67	105.28	127.66	107.36	82.76	59.00	111.97	98.38	78.49	117.01	110.10	119.76	62.39	80.80	91.64	114.69	77.70	120.81
QG37_04101	116.74	102.77	66.45	65.65	99.59	106.14	121.54	112.98	128.03	89.56	83.31	87.10	95.28	110.80	108.84	115.01	128.87	155.37	134.41	112.29	128.14	110.99	133.69	110.44	123.16	138.94	103.57	120.78	85.72	31.24	64.91	103.05	131.45	132.70	82.56	77.16	105.48	109.70	83.80	121.63	149.81	103.36	86.62	107.08	110.70	110.79	107.30	139.28
QG37_04102	114.89	110.16	59.82	55.93	99.14	91.17	91.86	92.84	114.25	86.50	67.47	75.26	81.87	93.18	86.38	100.17	120.77	127.73	125.52	95.57	108.41	98.01	129.02	110.18	100.37	126.99	88.26	101.81	78.55	25.86	58.82	97.91	105.87	86.36	95.45	73.27	85.85	94.92	77.82	107.77	128.09	111.48	82.13	90.02	107.80	102.23	93.06	123.21
QG37_04103	122.59	111.53	70.76	53.18	100.28	108.56	87.83	95.14	106.52	85.73	75.43	75.85	87.19	101.12	102.43	112.43	124.33	127.37	119.15	95.40	96.26	106.31	124.94	108.01	97.67	109.42	78.21	96.01	79.66	24.03	66.55	99.43	110.82	100.28	108.36	79.24	99.70	105.23	89.80	105.81	131.43	106.01	89.35	92.71	96.07	87.56	83.83	123.73
QG37_04104	86.74	97.87	57.36	61.07	88.52	91.91	87.98	86.61	84.47	86.70	59.11	69.57	80.30	71.46	78.91	95.43	110.00	115.18	111.50	87.55	85.32	86.39	101.87	84.74	99.72	108.64	79.67	109.18	82.20	23.61	58.37	85.05	108.60	95.94	93.68	77.42	87.90	104.88	75.02	80.22	101.54	83.52	69.95	73.66	74.95	78.67	89.18	109.94
QG37_04105	116.81	126.04	72.71	72.28	111.79	111.60	107.10	102.74	120.74	101.43	93.89	90.21	100.75	102.57	104.45	112.53	136.89	149.67	132.94	109.22	116.50	126.14	124.02	96.14	123.84	141.87	100.36	122.87	100.94	27.21	69.19	116.38	130.28	112.16	111.64	87.44	105.17	108.65	90.41	118.94	136.33	121.38	92.95	92.32	113.25	114.20	102.28	132.97
QG37_04106	122.41	118.65	66.34	76.59	105.56	109.30	108.45	113.36	120.12	104.31	94.48	95.65	98.84	108.36	102.69	116.99	146.17	135.25	118.70	97.51	122.90	117.70	112.36	95.04	115.50	135.97	89.00	121.74	97.23	21.85	68.69	128.67	118.58	96.27	108.38	90.68	101.60	108.42	86.83	106.59	136.29	115.27	98.85	80.37	113.47	107.30	102.54	125.97
QG37_04107	109.19	110.14	65.97	69.71	103.32	95.72	100.16	112.54	116.55	101.32	90.56	82.72	84.74	96.09	94.15	115.73	127.86	152.76	112.19	100.29	108.93	113.41	120.63	98.17	112.98	130.31	99.40	118.03	90.59	23.06	70.07	112.60	128.67	113.23	103.34	81.05	96.61	103.81	81.58	117.96	126.07	117.44	92.99	92.11	111.72	105.40	96.87	130.00
QG37_04108	109.57	130.27	66.59	68.68	114.29	105.31	98.96	91.04	121.55	117.80	95.93	96.74	101.13	111.86	94.96	102.50	163.31	168.20	133.80	104.98	113.37	127.50	137.85	114.60	149.09	141.39	90.82	127.24	100.64	26.15	78.51	108.09	113.90	103.66	102.02	94.51	99.93	93.04	78.19	126.71	127.80	116.70	80.54	87.32	106.72	111.88	97.33	127.30
QG37_04109	98.01	135.95	56.87	62.91	107.13	91.04	89.19	90.77	119.25	107.82	92.28	99.42	106.64	101.35	91.39	105.58	170.68	148.21	125.62	114.98	123.68	140.95	140.22	106.97	120.86	145.37	89.68	134.33	86.00	34.93	71.55	113.42	134.09	103.94	108.08	80.17	89.17	115.74	77.79	102.34	135.21	128.59	84.34	98.45	92.67	103.27	103.76	136.95
QG37_04110	124.97	113.47	73.13	73.65	105.17	107.80	94.91	104.06	133.37	123.45	103.26	95.93	93.09	111.64	86.52	115.29	143.59	174.69	131.25	123.99	114.56	118.97	124.99	91.59	145.12	140.57	107.15	133.42	92.10	30.29	65.21	128.49	134.46	105.52	114.41	88.43	104.18	112.74	91.55	115.45	127.24	134.49	90.36	84.72	113.85	126.39	120.67	156.18
QG37_04111	109.16	115.07	61.45	62.82	100.38	94.29	84.74	101.27	110.12	85.85	78.63	83.33	82.37	88.21	90.48	99.16	119.58	129.26	120.49	106.43	110.77	100.02	116.64	92.23	112.59	122.95	85.62	100.91	87.28	24.41	55.78	103.28	111.44	109.66	102.90	80.98	91.61	93.35	73.83	106.76	116.75	116.42	80.44	85.51	96.77	105.16	90.26	125.86
QG37_04112	183.44	138.72	83.87	84.85	123.93	111.63	127.05	107.07	140.05	108.98	93.52	110.59	93.54	107.10	102.70	110.39	141.12	151.28	169.57	129.40	104.06	140.14	119.66	109.25	128.01	129.44	101.04	137.01	103.95	35.40	83.35	120.59	153.73	152.13	128.69	108.66	125.23	134.61	129.67	163.50	172.68	156.50	110.89	110.31	156.65	143.76	135.37	197.16
QG37_04113	102.18	100.75	54.13	59.41	91.24	103.18	109.49	107.90	109.06	82.54	79.25	91.57	91.58	95.93	96.19	111.00	120.54	141.00	131.07	101.74	118.34	113.00	126.92	92.77	112.74	125.58	88.65	102.40	79.96	25.78	70.54	110.67	135.15	113.83	109.25	82.44	94.39	103.17	88.48	108.36	127.14	115.62	88.63	93.64	101.13	103.51	86.69	123.68
QG37_04114	90.14	75.43	60.50	46.68	95.72	75.83	81.42	84.53	93.84	80.62	61.04	55.55	74.07	101.61	77.60	86.68	120.70	114.43	106.11	98.99	90.64	79.74	94.88	91.84	110.82	108.79	76.26	86.17	73.70	23.97	56.29	83.29	94.84	96.26	90.53	81.73	83.97	82.58	83.29	107.41	109.64	83.71	71.35	72.74	90.46	90.02	75.86	104.26
QG37_04115	105.75	104.02	57.75	58.96	93.89	104.37	86.80	99.16	98.52	73.86	73.65	78.19	75.16	84.80	81.55	102.64	119.64	126.41	110.47	102.23	95.60	103.30	101.23	97.96	108.66	117.02	83.27	98.76	71.83	18.55	50.75	98.99	101.42	98.77	79.09	67.09	73.41	92.65	75.94	99.51	117.74	99.59	72.19	81.45	90.20	92.14	86.94	108.94
QG37_04116	97.73	128.30	73.19	77.92	109.65	101.38	92.20	110.61	127.12	87.20	85.14	74.54	95.24	103.51	90.47	119.60	126.98	135.85	126.21	114.77	108.31	117.84	120.22	85.88	120.36	142.83	107.59	139.15	90.58	26.92	59.77	117.53	128.47	104.62	109.04	87.32	93.41	91.84	78.26	114.96	120.84	105.39	78.04	83.41	89.35	95.98	87.87	128.47
QG37_04117	112.62	105.08	64.82	68.91	99.02	98.74	104.82	106.36	109.19	93.35	79.14	84.89	88.15	95.35	97.99	105.12	126.88	140.08	121.70	109.36	102.68	110.50	116.94	93.67	111.09	129.08	90.04	111.27	94.28	25.73	66.48	107.92	118.23	110.85	103.62	87.61	92.04	103.86	90.44	108.66	133.30	106.64	84.96	81.28	101.15	102.30	92.99	120.05
QG37_04118	143.13	133.36	71.90	80.34	108.57	119.50	135.01	121.73	129.03	124.57	90.16	101.79	90.67	100.87	103.41	130.02	155.02	162.18	135.86	134.58	128.53	130.21	119.04	104.99	148.74	142.31	103.80	111.84	120.95	30.35	78.11	142.87	130.90	109.73	112.89	78.10	83.17	98.17	100.28	132.89	141.02	141.16	85.35	106.38	135.04	125.22	112.69	154.96
