GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04018	0.9845	1.0012	1.1510	1.1966	0.9908	0.9687	1.1183	1.0340	1.1177	0.8462	0.9556	1.1023	1.1590	1.0812	0.9808	0.8628	1.0274	1.0861	0.9963	1.0486	1.1682	1.1227	0.8962	0.9565	1.0718	1.0416	1.0321	0.9727	1.0918	0.7451	0.6704	1.0714	0.0008	1.1185	1.2273	1.1792	1.1262	0.0000	1.1468	1.0527	1.1194	1.0769	0.9329	1.0571	1.1281	1.1540	1.2333	0.9710
QG37_04019	0.8654	1.0268	1.2311	1.1161	1.0815	0.9712	1.1809	1.0065	1.0662	0.9205	1.0526	1.0103	1.2571	1.1242	0.9892	0.8709	1.0524	1.2984	1.0359	1.1847	1.0505	1.3873	1.0097	1.0332	1.1905	1.1618	1.0786	0.9864	0.9896	0.8175	0.6447	0.9995	0.0044	1.2161	1.0155	1.0798	1.1288	0.0028	1.0949	1.2704	1.1648	1.0158	0.9857	1.0779	1.0550	1.0708	1.0601	1.0900
QG37_04020	1.0873	1.0037	1.0911	1.0638	1.0108	0.9728	1.0234	1.0318	1.0106	0.9158	0.9244	1.1686	1.0850	0.9591	1.0535	0.9684	1.0769	0.9945	1.0090	1.1670	1.1598	1.0517	0.9362	1.0991	1.1306	0.9246	1.1585	1.0080	0.9126	0.8557	0.8381	1.0917	0.0054	1.0646	1.0572	1.0399	1.0086	0.0019	1.0218	0.9866	0.9937	0.9090	0.8911	1.1072	1.0956	0.9921	1.0304	0.9523
QG37_04021	0.9298	0.8532	0.8926	1.1152	1.1465	0.7829	0.8735	0.8736	0.9378	0.8967	0.9188	1.0628	0.9904	0.9222	0.8250	1.1041	0.7138	1.0084	0.7891	0.9586	0.8609	0.9356	0.9014	0.9438	0.9672	0.9493	0.8198	0.9621	0.8880	0.6935	0.6523	0.9277	0.0000	0.8263	1.0267	0.9061	0.9912	0.0000	0.9820	0.9062	0.8767	0.8014	0.9040	0.6892	1.0617	0.9164	0.7742	0.9549
QG37_04022	1.1028	1.1061	1.1804	1.0211	1.0272	0.8455	1.0726	1.1178	1.0489	1.0914	0.9920	1.1785	1.1202	1.2529	1.1071	0.9768	0.9661	1.0175	0.9472	1.0849	0.9570	1.0898	0.9268	1.1573	1.0846	1.0408	1.1355	0.9457	1.1574	0.8966	0.8120	1.0074	0.0000	1.0911	1.0766	1.0787	1.0002	0.0000	1.1633	1.0183	1.1459	0.9864	1.0711	1.0464	1.1192	1.0006	1.0202	1.1056
QG37_04023	0.8999	1.0483	1.1017	0.8480	0.9243	0.7509	1.0366	1.0197	0.8605	1.0469	0.9302	0.9736	0.9175	0.9388	0.8354	1.0514	0.8860	0.9520	0.8710	1.0480	0.9471	0.9657	1.0777	1.0002	0.9029	0.9693	0.8949	0.9325	1.0072	0.7229	0.9154	0.8306	0.0000	0.7951	0.9845	1.0105	0.7175	0.0000	0.9841	0.8436	0.9886	0.9338	0.9351	0.9882	0.9751	0.9425	1.0191	1.0398
QG37_04024	1.1316	1.0556	1.1960	1.0772	1.1440	1.3274	1.1754	1.1235	1.0906	1.1409	1.1539	1.0561	1.2927	1.1541	1.1592	1.1178	1.0052	1.1838	1.1224	1.1982	1.1144	1.0672	1.1768	1.1309	1.0896	1.2172	1.0973	1.0944	1.1396	0.9203	0.7034	1.0796	0.0035	0.9696	0.9118	0.9761	0.9113	0.0000	0.8793	0.8783	0.9917	0.9246	0.9430	0.9517	0.8372	0.8675	0.8723	0.9620
QG37_04025	0.7283	0.8412	0.9360	0.8883	0.9413	0.9372	0.8412	0.9805	0.9294	0.8443	0.9446	0.8043	0.8744	0.8373	0.9437	0.8187	0.7544	0.8258	0.8416	0.8392	0.8664	0.7939	0.9217	0.7832	0.7840	0.7923	0.8496	0.9330	0.8243	0.4998	0.6580	0.7373	0.0000	0.9405	0.9616	0.9409	0.9556	0.0000	0.9002	0.7518	1.0337	0.8576	0.8398	1.0079	0.8169	0.9470	0.9698	0.9388
QG37_04026	1.0077	0.9565	0.9043	0.9935	0.9295	1.0186	0.8099	0.9038	0.8842	0.8956	0.9633	0.8812	0.9752	0.8557	0.9408	1.0112	0.8671	0.9086	0.7659	0.8224	0.9598	0.7716	0.8500	0.8534	0.8278	0.9022	0.8513	0.9014	0.8824	0.6338	0.7721	0.7566	0.0036	0.9319	0.9477	0.8342	0.9610	0.0000	0.9514	0.8485	0.9875	0.8609	0.7806	0.8834	0.8648	0.9458	0.9015	0.8961
QG37_04027	1.0479	1.0206	0.8978	0.9714	1.0319	0.9292	1.0813	0.9076	1.0824	1.0436	0.9531	0.9558	0.9510	0.9621	0.8763	0.9174	1.0285	0.9735	0.9542	0.9952	1.1026	1.1841	0.9733	0.9261	0.9608	1.0332	1.0342	1.0770	0.9102	0.5984	0.8033	0.8883	0.0033	1.0487	1.0666	1.0752	1.0893	0.0023	1.0233	0.9069	1.0392	0.9373	1.0266	1.0207	1.0153	0.9767	1.0134	0.8700
