GENE	COVERAGE	STRAIN	GROUP
QG37_04018	0.9845	CDC_B11096	Pakistan
QG37_04018	1.0012	CDC_B11097	Pakistan
QG37_04018	1.1510	CDC_B11098	Pakistan
QG37_04018	1.1966	CDC_B11099	Pakistan
QG37_04018	0.9908	CDC_B11101	Pakistan
QG37_04018	0.9687	CDC_B11102	Pakistan
QG37_04018	1.1183	CDC_B11103	Pakistan
QG37_04018	1.0340	CDC_B11105	Pakistan
QG37_04018	1.1177	CDC_B11112	Pakistan
QG37_04018	0.8462	CDC_B11113	Pakistan
QG37_04018	0.9556	CDC_B11114	Pakistan
QG37_04018	1.1023	CDC_B11115	Pakistan
QG37_04018	1.1590	CDC_B11116	Pakistan
QG37_04018	1.0812	CDC_B11117	Pakistan
QG37_04018	0.9808	CDC_B11118	Pakistan
QG37_04018	0.8628	CDC_B11119	Pakistan
QG37_04018	1.0274	CDC_B11200	India
QG37_04018	1.0861	CDC_B11201	India
QG37_04018	0.9963	CDC_B11205	India
QG37_04018	1.0486	CDC_B11206	India
QG37_04018	1.1682	CDC_B11207	India
QG37_04018	1.1227	CDC_B11208	India
QG37_04018	0.8962	CDC_B11209	India
QG37_04018	0.9565	CDC_B11210	India
QG37_04018	1.0718	CDC_B11212	India
QG37_04018	1.0416	CDC_B11213	India
QG37_04018	1.0321	CDC_B11214	India
QG37_04018	0.9727	CDC_B11215	India
QG37_04018	1.0918	CDC_B11216	India
QG37_04018	0.7451	CDC_B11217	India
QG37_04018	0.6704	CDC_B11218	India
QG37_04018	1.0714	CDC_B11219	India
QG37_04018	0.0008	CDC_B11220	Japan
QG37_04018	1.1185	CDC_B11221	South Africa
QG37_04018	1.2273	CDC_B11222	South Africa
QG37_04018	1.1792	CDC_B11223	South Africa
QG37_04018	1.1262	CDC_B11224	South Africa
QG37_04018	0.0000	CDC_B11225	South Africa
QG37_04018	1.1468	CDC_B11226	South Africa
QG37_04018	1.0527	CDC_B11227	South Africa
QG37_04018	1.1194	CDC_B11228	South Africa
QG37_04018	1.0769	CDC_B11229	South Africa
QG37_04018	0.9329	CDC_B11230	South Africa
QG37_04018	1.0571	CDC_B11243	Venezuela
QG37_04018	1.1281	CDC_B11244	Venezuela
QG37_04018	1.1540	CDC_B11245	Venezuela
QG37_04018	1.2333	CDC_B11246	Venezuela
QG37_04018	0.9710	CDC_B11247	Venezuela
QG37_04019	0.8654	CDC_B11096	Pakistan
QG37_04019	1.0268	CDC_B11097	Pakistan
QG37_04019	1.2311	CDC_B11098	Pakistan
QG37_04019	1.1161	CDC_B11099	Pakistan
QG37_04019	1.0815	CDC_B11101	Pakistan
QG37_04019	0.9712	CDC_B11102	Pakistan
QG37_04019	1.1809	CDC_B11103	Pakistan
QG37_04019	1.0065	CDC_B11105	Pakistan
QG37_04019	1.0662	CDC_B11112	Pakistan
QG37_04019	0.9205	CDC_B11113	Pakistan
QG37_04019	1.0526	CDC_B11114	Pakistan
QG37_04019	1.0103	CDC_B11115	Pakistan
QG37_04019	1.2571	CDC_B11116	Pakistan
QG37_04019	1.1242	CDC_B11117	Pakistan
QG37_04019	0.9892	CDC_B11118	Pakistan
QG37_04019	0.8709	CDC_B11119	Pakistan
QG37_04019	1.0524	CDC_B11200	India
QG37_04019	1.2984	CDC_B11201	India
QG37_04019	1.0359	CDC_B11205	India
QG37_04019	1.1847	CDC_B11206	India
QG37_04019	1.0505	CDC_B11207	India
QG37_04019	1.3873	CDC_B11208	India
QG37_04019	1.0097	CDC_B11209	India
QG37_04019	1.0332	CDC_B11210	India
QG37_04019	1.1905	CDC_B11212	India
QG37_04019	1.1618	CDC_B11213	India
QG37_04019	1.0786	CDC_B11214	India
QG37_04019	0.9864	CDC_B11215	India
QG37_04019	0.9896	CDC_B11216	India
QG37_04019	0.8175	CDC_B11217	India
QG37_04019	0.6447	CDC_B11218	India
QG37_04019	0.9995	CDC_B11219	India
QG37_04019	0.0044	CDC_B11220	Japan
QG37_04019	1.2161	CDC_B11221	South Africa
QG37_04019	1.0155	CDC_B11222	South Africa
QG37_04019	1.0798	CDC_B11223	South Africa
QG37_04019	1.1288	CDC_B11224	South Africa
