GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_05054	0.4928	0.3920	0.4280	0.4082	0.3759	0.2937	0.3242	0.4256	0.3191	0.4326	0.3665	0.2829	0.3212	0.2925	0.3114	0.3916	0.3787	0.3108	0.3623	0.3745	0.3426	0.3097	0.3858	0.3230	0.3981	0.3913	0.4363	0.3392	0.3795	0.3165	0.3488	0.4025	0.3645	0.3191	0.4196	0.3168	0.3309	0.3627	0.5400	0.4799	0.3574	0.3476	0.3710	0.4530	0.5757	0.5088	0.4857	0.4088
QG37_05055	1.0079	0.8933	1.0336	0.9696	0.9040	0.9631	1.0197	0.9485	0.9678	0.9433	0.9129	0.9056	0.9414	0.9302	0.9179	0.9628	0.8744	0.9329	0.9385	0.8927	0.9728	0.9225	0.9376	0.9220	0.9706	0.9017	0.9389	0.9243	0.9592	0.8888	0.9606	0.9332	0.9888	0.9185	0.9613	0.9692	1.0081	0.9934	1.0253	0.9242	0.9594	0.9714	0.9217	0.9991	0.9388	0.9648	1.0586	0.9891
QG37_05056	0.9587	0.9443	0.9816	0.8930	0.9559	0.9016	0.9979	0.9225	0.9360	0.9230	0.8969	0.8834	0.8849	0.9133	0.9002	0.9323	0.9284	0.9699	0.9839	0.8808	0.9619	0.9858	1.0160	1.0144	0.9710	1.0003	0.9930	0.9249	1.0280	0.9124	0.9235	0.9790	0.8906	0.9194	1.0172	0.8906	0.9552	1.0515	0.9325	0.9378	1.0128	0.9243	0.9560	0.9696	0.9534	0.9590	0.9660	0.9651
QG37_05057	0.9670	0.9936	0.8555	1.0911	0.9243	0.9036	0.9449	1.0207	0.9670	0.8360	0.9720	0.8889	0.9916	1.0239	0.9992	0.9414	0.9931	0.9281	0.9165	0.9348	0.9294	0.9787	1.0169	1.0006	0.9983	0.9848	0.8717	0.9147	0.9360	0.9576	0.9080	0.9587	0.9491	0.9404	0.9771	0.9432	0.9523	0.9648	1.0314	0.9679	1.0749	0.8734	0.8914	0.9330	1.1552	0.9492	0.9623	0.9616
QG37_05058	1.0868	0.8514	0.9162	0.9191	0.8744	0.9904	0.9731	0.9953	0.9112	0.9945	0.9547	0.9351	0.9664	0.9444	0.9053	0.8576	0.9722	0.8765	0.9208	0.9737	0.8808	0.9250	0.9657	0.9806	0.9999	0.9581	0.9494	0.8906	0.9000	0.9360	0.9936	0.9434	0.9562	0.9524	1.0091	0.9109	0.9195	1.0069	0.9594	1.0627	0.9226	0.9587	0.9953	1.0500	1.0428	0.9661	0.9714	1.0748
QG37_05059	0.9794	0.7757	0.8039	0.8329	0.9792	0.8332	0.9107	0.7731	0.9191	0.9459	0.9315	0.9582	0.8596	0.8682	0.9927	0.9985	0.8888	0.8495	0.8312	0.9383	0.9361	0.8389	1.0324	0.9057	0.7468	0.9225	0.8243	0.9474	0.9706	0.9163	0.8983	0.9555	0.9882	0.9976	0.9286	0.9371	1.0602	0.9051	0.9570	0.8921	0.9527	0.8823	0.9363	0.9856	1.0624	0.8979	1.0832	1.0043
QG37_05060	1.0119	1.0283	0.8740	0.9139	0.9086	0.9534	0.8780	0.9294	0.9792	0.9818	0.8873	1.0901	0.9418	1.0348	0.9403	0.9451	0.8669	0.9725	0.9618	0.8913	0.9645	0.9610	0.9802	0.9740	0.9144	1.0294	0.8900	1.0788	0.9979	1.0358	0.9589	0.9370	0.9925	0.8796	0.9296	1.0847	0.8927	1.0016	0.9061	0.8908	0.9451	0.9703	0.9100	0.9507	0.9827	0.9010	0.9133	0.9520
QG37_05061	1.0260	1.0379	0.9851	0.9042	0.9343	0.9711	0.9871	0.8609	0.9079	0.8869	0.9639	0.9603	0.9293	1.0392	0.9282	1.0402	0.8740	1.0836	0.9932	0.9258	0.9131	1.0985	1.0427	0.9595	0.8850	1.0640	0.9598	0.9718	0.9473	0.7414	0.8750	0.8885	1.0825	0.9450	0.8970	1.0950	0.9471	0.9256	0.9160	1.0000	0.9908	1.0015	0.8749	1.0349	0.9900	1.1376	0.9996	0.9829
QG37_05062	0.7953	0.7751	0.7233	0.8420	0.7384	0.8085	0.8875	0.9234	0.7235	0.8887	0.8763	0.8856	0.9622	0.7620	0.8321	0.8191	0.7893	0.9446	0.8458	0.8945	0.7955	0.9130	0.8109	0.8517	0.8882	0.8857	0.9384	0.9074	0.9163	0.6523	0.8365	0.8795	0.9052	0.7237	0.8970	0.8351	0.7880	0.7373	0.7829	0.7929	0.8114	0.8343	0.9927	0.7346	0.8152	0.7817	0.9424	0.8084
QG37_05063	1.0668	0.8540	0.9821	0.9768	0.9361	0.8966	0.9312	0.9742	0.8893	0.8860	0.9777	0.9200	1.0299	0.9865	0.9890	1.0431	0.9554	0.9401	0.9746	0.9447	1.0180	0.9175	0.9428	0.9654	0.9608	0.9723	0.9437	0.9843	0.9285	0.9667	0.8718	0.9874	1.0495	1.0156	0.9781	0.9504	0.8727	0.8899	0.8848	0.8989	1.0216	0.9494	0.9123	1.0072	0.9696	0.9919	0.9607	0.9574
