GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_03112	0.0567	0.3680	0.3623	0.2845	0.3712	0.4153	0.4419	0.3522	0.3457	0.2869	0.4219	0.3721	0.4003	0.3820	0.3498	0.4231	0.3383	0.2723	0.3753	0.3716	0.3316	0.3259	0.3603	0.3706	0.3053	0.2738	0.4142	0.3332	0.2544	0.2076	0.2533	0.4057	0.7212	0.3422	0.3615	0.3534	0.3193	0.3687	0.3633	0.3371	0.3007	0.4324	0.3584	0.5541	0.3655	0.3555	0.3646	0.3449
QG37_03113	0.4414	0.6249	0.6799	0.6740	0.6541	0.6193	0.6131	0.5873	0.6626	0.5955	0.6986	0.6396	0.6370	0.6266	0.5649	0.6134	0.5930	0.5332	0.7085	0.6176	0.6400	0.5646	0.7400	0.6522	0.7045	0.5514	0.6359	0.6209	0.5410	0.4644	0.4973	0.6527	0.7854	0.6317	0.6791	0.6991	0.5540	0.5772	0.6580	0.5267	0.5562	0.7023	0.7083	0.7584	0.6918	0.6726	0.7150	0.6511
QG37_03114	0.7784	0.7179	0.8261	0.8818	0.7092	0.7975	0.7666	0.7921	0.8108	0.6760	0.8436	0.7117	0.7916	0.8557	0.8238	0.8250	0.8168	0.7966	0.7805	0.7848	0.7991	0.7653	0.8226	0.8383	0.8093	0.7742	0.7411	0.7574	0.7194	0.6669	0.7716	0.7351	0.7827	0.7736	0.8040	0.7561	0.7897	0.8167	0.8914	0.7490	0.8530	0.7721	0.8306	0.8499	0.7718	0.7539	0.7805	0.8190
QG37_03117	0.9334	0.8291	0.9146	0.8368	0.8210	0.8622	0.9433	0.8732	0.8766	0.9089	0.8343	0.8585	0.8884	0.8519	0.8793	0.9380	0.9201	0.8988	0.9645	0.8678	0.8910	0.9097	0.8979	0.9204	0.9113	0.8932	0.8275	0.8834	0.9543	0.8430	0.8319	0.7947	0.9171	1.0007	1.0111	0.9779	1.0257	0.9611	0.9434	0.9405	1.0261	0.9363	0.9142	1.0314	0.9594	0.9578	0.8065	0.9501
QG37_03118	0.8941	1.0112	1.0149	1.0110	1.0709	0.8931	1.0325	0.9208	0.9960	0.9742	1.1979	1.3200	0.9319	0.9092	1.1089	1.0317	1.0252	1.0880	1.1073	0.8616	0.9677	0.9547	0.9792	0.9932	1.0757	0.8746	1.0074	1.0173	0.9657	1.0779	1.0023	0.9273	0.9001	0.9405	0.9310	0.8402	0.9695	0.9009	0.9243	1.1883	1.1763	1.1397	0.9645	0.9740	0.9329	0.8787	0.9647	0.9941
QG37_03119	1.0119	1.0175	0.9708	0.9538	1.0097	0.8706	0.9130	1.0836	1.0475	0.9427	1.0679	1.0665	0.9416	1.0035	1.0473	0.9700	1.0119	1.0578	1.1115	0.9823	1.1350	1.1419	0.9744	0.9346	0.9420	1.0388	1.1543	0.9895	0.8198	1.0294	1.0220	0.8856	1.0032	1.1565	0.8259	1.0706	1.0338	1.1136	0.9486	1.1140	1.1159	1.1478	1.1083	0.9576	0.9408	0.9201	0.9865	0.8378
QG37_03120	1.0528	0.9666	0.9226	1.0335	1.0345	0.9558	0.9613	1.0282	0.9925	1.0150	0.9876	0.9692	0.9866	0.9820	1.0675	1.0506	1.0020	1.0251	1.0369	0.9910	1.0429	1.0721	0.9598	1.0730	1.0483	1.0139	1.0041	1.0139	1.0039	0.9088	1.0309	0.9110	1.0414	1.0590	0.9488	1.0564	1.0488	1.0378	1.0559	1.0092	1.0871	0.9589	0.9781	1.1039	1.0672	1.0738	1.0250	1.0648
QG37_03121	0.9453	0.9466	0.9089	0.8489	0.9634	1.0033	0.8935	0.9994	0.9492	0.9204	0.9804	0.9612	0.9536	0.9417	0.9637	0.9634	0.9181	1.0017	0.9880	0.9380	1.0082	0.9897	0.9249	0.9114	1.0171	0.9434	0.9415	0.9448	0.8881	0.8885	0.9554	0.8646	0.9751	0.9937	1.0056	0.9491	0.9282	0.9865	1.1109	0.9579	1.0433	0.9407	0.9534	1.0522	0.9990	1.0109	1.0488	0.9405
QG37_03122	0.8638	1.0020	0.9249	1.0065	0.8057	0.9473	0.8808	0.9290	0.9093	0.9411	0.8964	0.8698	0.8807	0.8022	0.9938	1.0072	0.9098	0.9691	1.0052	0.9194	0.8489	0.9303	0.8543	0.9837	0.9230	0.8573	0.9497	0.9453	0.9766	0.8718	0.8516	0.8476	0.8925	0.9803	0.9727	0.8695	0.9775	1.0005	1.0787	0.8821	0.9478	1.0701	0.9650	1.0265	1.0046	0.9611	0.9815	1.0150
QG37_03123	1.1374	1.0358	1.2511	1.0689	1.0817	1.1588	0.9588	0.9701	1.2704	1.0998	0.9064	1.3748	1.2729	1.1315	0.9589	1.1069	0.9385	0.9797	1.1237	1.0237	1.0804	1.2745	0.9704	1.1490	1.0720	1.2045	1.2836	1.2456	1.2287	1.0355	0.9851	1.0571	1.0087	1.0544	1.1964	0.9654	1.1216	1.0304	0.9867	1.0116	1.1406	0.9279	1.0868	0.9598	1.1699	0.9990	1.1217	1.1052
QG37_03124	0.8021	0.8656	0.8152	0.8436	0.8274	0.7733	0.9368	0.8919	0.8512	0.7420	0.8262	0.7735	0.8308	0.8998	0.9297	0.9679	0.7910	0.8942	0.8386	0.7415	0.9401	0.9135	0.8391	0.8709	0.7810	0.7715	0.9312	0.8126	0.7034	0.6114	0.7572	0.8921	0.8604	0.8296	0.9361	0.8403	0.8789	0.9287	0.8569	0.8646	0.8965	0.8384	0.8404	0.8857	0.8655	0.7957	0.8939	0.9827
