GENE	COVERAGE	STRAIN	GROUP
QG37_07782	1.5195	CDC_B11096	Pakistan
QG37_07782	1.2958	CDC_B11097	Pakistan
QG37_07782	1.3136	CDC_B11098	Pakistan
QG37_07782	1.0656	CDC_B11099	Pakistan
QG37_07782	1.3606	CDC_B11101	Pakistan
QG37_07782	1.1549	CDC_B11102	Pakistan
QG37_07782	1.2726	CDC_B11103	Pakistan
QG37_07782	1.0742	CDC_B11105	Pakistan
QG37_07782	1.2374	CDC_B11112	Pakistan
QG37_07782	1.0801	CDC_B11113	Pakistan
QG37_07782	1.2396	CDC_B11114	Pakistan
QG37_07782	1.2694	CDC_B11115	Pakistan
QG37_07782	1.2239	CDC_B11116	Pakistan
QG37_07782	1.1668	CDC_B11117	Pakistan
QG37_07782	1.1762	CDC_B11118	Pakistan
QG37_07782	0.9954	CDC_B11119	Pakistan
QG37_07782	1.1933	CDC_B11200	India
QG37_07782	1.1531	CDC_B11201	India
QG37_07782	1.1226	CDC_B11205	India
QG37_07782	1.2751	CDC_B11206	India
QG37_07782	1.2274	CDC_B11207	India
QG37_07782	1.0371	CDC_B11208	India
QG37_07782	1.1963	CDC_B11209	India
QG37_07782	1.0400	CDC_B11210	India
QG37_07782	1.1679	CDC_B11212	India
QG37_07782	1.2645	CDC_B11213	India
QG37_07782	1.2145	CDC_B11214	India
QG37_07782	1.2294	CDC_B11215	India
QG37_07782	1.3713	CDC_B11216	India
QG37_07782	1.1701	CDC_B11217	India
QG37_07782	1.0875	CDC_B11218	India
QG37_07782	1.2021	CDC_B11219	India
QG37_07782	1.2356	CDC_B11220	Japan
QG37_07782	1.1442	CDC_B11221	South Africa
QG37_07782	1.3171	CDC_B11222	South Africa
QG37_07782	1.2954	CDC_B11223	South Africa
QG37_07782	1.2517	CDC_B11224	South Africa
QG37_07782	1.1346	CDC_B11225	South Africa
QG37_07782	1.2920	CDC_B11226	South Africa
QG37_07782	1.0244	CDC_B11227	South Africa
QG37_07782	1.2267	CDC_B11228	South Africa
QG37_07782	1.2502	CDC_B11229	South Africa
QG37_07782	1.0253	CDC_B11230	South Africa
QG37_07782	1.0835	CDC_B11243	Venezuela
QG37_07782	1.1822	CDC_B11244	Venezuela
QG37_07782	1.0842	CDC_B11245	Venezuela
QG37_07782	1.1758	CDC_B11246	Venezuela
QG37_07782	1.1819	CDC_B11247	Venezuela
QG37_07783	1.2400	CDC_B11096	Pakistan
QG37_07783	1.1054	CDC_B11097	Pakistan
QG37_07783	1.1543	CDC_B11098	Pakistan
QG37_07783	1.0488	CDC_B11099	Pakistan
QG37_07783	1.1387	CDC_B11101	Pakistan
QG37_07783	1.0706	CDC_B11102	Pakistan
QG37_07783	1.1539	CDC_B11103	Pakistan
QG37_07783	1.1483	CDC_B11105	Pakistan
QG37_07783	1.1347	CDC_B11112	Pakistan
QG37_07783	1.2113	CDC_B11113	Pakistan
QG37_07783	1.0907	CDC_B11114	Pakistan
QG37_07783	1.1044	CDC_B11115	Pakistan
QG37_07783	1.1041	CDC_B11116	Pakistan
QG37_07783	1.0406	CDC_B11117	Pakistan
QG37_07783	1.0736	CDC_B11118	Pakistan
QG37_07783	1.0561	CDC_B11119	Pakistan
QG37_07783	1.0390	CDC_B11200	India
QG37_07783	1.0895	CDC_B11201	India
QG37_07783	1.1147	CDC_B11205	India
QG37_07783	1.1268	CDC_B11206	India
QG37_07783	1.0463	CDC_B11207	India
QG37_07783	1.0220	CDC_B11208	India
QG37_07783	1.1416	CDC_B11209	India
QG37_07783	1.0649	CDC_B11210	India
