GENE	COVERAGE	STRAIN	GROUP
QG37_04187	2.1293	CDC_B11096	Pakistan
QG37_04187	4.8446	CDC_B11097	Pakistan
QG37_04187	6.0216	CDC_B11098	Pakistan
QG37_04187	7.2682	CDC_B11099	Pakistan
QG37_04187	6.3849	CDC_B11101	Pakistan
QG37_04187	3.8042	CDC_B11102	Pakistan
QG37_04187	3.5436	CDC_B11103	Pakistan
QG37_04187	4.2575	CDC_B11105	Pakistan
QG37_04187	4.4804	CDC_B11112	Pakistan
QG37_04187	6.7354	CDC_B11113	Pakistan
QG37_04187	4.5449	CDC_B11114	Pakistan
QG37_04187	10.0984	CDC_B11115	Pakistan
QG37_04187	6.0625	CDC_B11116	Pakistan
QG37_04187	3.4111	CDC_B11117	Pakistan
QG37_04187	6.8332	CDC_B11118	Pakistan
QG37_04187	4.1423	CDC_B11119	Pakistan
QG37_04187	5.9985	CDC_B11200	India
QG37_04187	5.1260	CDC_B11201	India
QG37_04187	4.0563	CDC_B11205	India
QG37_04187	5.0253	CDC_B11206	India
QG37_04187	3.6128	CDC_B11207	India
QG37_04187	5.6829	CDC_B11208	India
QG37_04187	5.9301	CDC_B11209	India
QG37_04187	6.0813	CDC_B11210	India
QG37_04187	6.2358	CDC_B11212	India
QG37_04187	8.2568	CDC_B11213	India
QG37_04187	5.9371	CDC_B11214	India
QG37_04187	9.3100	CDC_B11215	India
QG37_04187	11.2657	CDC_B11216	India
QG37_04187	13.2367	CDC_B11217	India
QG37_04187	8.4340	CDC_B11218	India
QG37_04187	9.7052	CDC_B11219	India
QG37_04187	7.8657	CDC_B11220	Japan
QG37_04187	5.6273	CDC_B11221	South Africa
QG37_04187	5.1700	CDC_B11222	South Africa
QG37_04187	5.0271	CDC_B11223	South Africa
QG37_04187	6.7426	CDC_B11224	South Africa
QG37_04187	5.4238	CDC_B11225	South Africa
QG37_04187	5.0541	CDC_B11226	South Africa
QG37_04187	5.5701	CDC_B11227	South Africa
QG37_04187	3.7967	CDC_B11228	South Africa
QG37_04187	4.5121	CDC_B11229	South Africa
QG37_04187	9.3734	CDC_B11230	South Africa
QG37_04187	3.9354	CDC_B11243	Venezuela
QG37_04187	6.5213	CDC_B11244	Venezuela
QG37_04187	4.2018	CDC_B11245	Venezuela
QG37_04187	4.5466	CDC_B11246	Venezuela
QG37_04187	4.6630	CDC_B11247	Venezuela
QG37_04188	7.1958	CDC_B11096	Pakistan
QG37_04188	20.3332	CDC_B11097	Pakistan
QG37_04188	20.0365	CDC_B11098	Pakistan
QG37_04188	26.5871	CDC_B11099	Pakistan
QG37_04188	19.6984	CDC_B11101	Pakistan
QG37_04188	14.0247	CDC_B11102	Pakistan
QG37_04188	14.9102	CDC_B11103	Pakistan
QG37_04188	15.0375	CDC_B11105	Pakistan
QG37_04188	21.4447	CDC_B11112	Pakistan
QG37_04188	21.3034	CDC_B11113	Pakistan
QG37_04188	16.0507	CDC_B11114	Pakistan
QG37_04188	26.8485	CDC_B11115	Pakistan
QG37_04188	20.7401	CDC_B11116	Pakistan
QG37_04188	15.3550	CDC_B11117	Pakistan
QG37_04188	22.5958	CDC_B11118	Pakistan
QG37_04188	14.9661	CDC_B11119	Pakistan
QG37_04188	24.5808	CDC_B11200	India
QG37_04188	19.9096	CDC_B11201	India
QG37_04188	17.2563	CDC_B11205	India
QG37_04188	15.9788	CDC_B11206	India
QG37_04188	14.5681	CDC_B11207	India
QG37_04188	17.4714	CDC_B11208	India
QG37_04188	22.2837	CDC_B11209	India
QG37_04188	23.1538	CDC_B11210	India
QG37_04188	21.1353	CDC_B11212	India
QG37_04188	26.8008	CDC_B11213	India
QG37_04188	25.8587	CDC_B11214	India
QG37_04188	28.2606	CDC_B11215	India
QG37_04188	35.6673	CDC_B11216	India
QG37_04188	36.2849	CDC_B11217	India
QG37_04188	27.3004	CDC_B11218	India
QG37_04188	36.3818	CDC_B11219	India
QG37_04188	28.6789	CDC_B11220	Japan
QG37_04188	20.8423	CDC_B11221	South Africa
QG37_04188	18.6499	CDC_B11222	South Africa
QG37_04188	19.2903	CDC_B11223	South Africa
QG37_04188	20.4294	CDC_B11224	South Africa
QG37_04188	20.5187	CDC_B11225	South Africa
QG37_04188	16.1166	CDC_B11226	South Africa
QG37_04188	19.6214	CDC_B11227	South Africa
QG37_04188	13.9449	CDC_B11228	South Africa
QG37_04188	20.2042	CDC_B11229	South Africa
QG37_04188	32.9130	CDC_B11230	South Africa
QG37_04188	12.6802	CDC_B11243	Venezuela
QG37_04188	20.0368	CDC_B11244	Venezuela
QG37_04188	16.6569	CDC_B11245	Venezuela
QG37_04188	16.6205	CDC_B11246	Venezuela
QG37_04188	19.2516	CDC_B11247	Venezuela
QG37_08430	7.3985	CDC_B11096	Pakistan
QG37_08430	14.2457	CDC_B11097	Pakistan
QG37_08430	15.4333	CDC_B11098	Pakistan
QG37_08430	20.3710	CDC_B11099	Pakistan
QG37_08430	14.6168	CDC_B11101	Pakistan
