#STRAIN	BASECT	READCT	AVG_COVERAGE
CDC_B11096	12360384	1562358470	126.40
CDC_B11097	12360384	1634349445	132.22
CDC_B11098	12360384	934871548	75.63
CDC_B11099	12360384	947457066	76.65
CDC_B11101	12360384	1458900446	118.03
CDC_B11102	12360384	1435313047	116.12
CDC_B11103	12360384	1431077469	115.78
CDC_B11105	12360384	1455320188	117.74
CDC_B11112	12360384	1605105697	129.86
CDC_B11113	12360384	1424537335	115.25
CDC_B11114	12360384	1175049262	95.07
CDC_B11115	12360384	1277293871	103.34
CDC_B11116	12360384	1304153923	105.51
CDC_B11117	12360384	1328962540	107.52
CDC_B11118	12360384	1321554315	106.92
CDC_B11119	12360384	1448639859	117.20
CDC_B11200	12360384	1824184689	147.58
CDC_B11201	12360384	1919131377	155.26
CDC_B11205	12360384	1718394172	139.02
CDC_B11206	12360384	1497345054	121.14
CDC_B11207	12360384	1487468753	120.34
CDC_B11208	12360384	1536607125	124.32
CDC_B11209	12360384	1680845475	135.99
CDC_B11210	12360384	1341317072	108.52
CDC_B11212	12360384	1583887997	128.14
CDC_B11213	12360384	1881297622	152.20
CDC_B11214	12360384	1297990686	105.01
CDC_B11215	12360384	1689186233	136.66
CDC_B11216	12360384	1393062688	112.70
CDC_B11217	12360384	407811872	32.99
CDC_B11218	12360384	948067868	76.70
CDC_B11219	12360384	1623433840	131.34
CDC_B11220	12360384	1703154054	137.79
CDC_B11221	12360384	1498311373	121.22
CDC_B11222	12360384	1382030475	111.81
CDC_B11223	12360384	1162293544	94.03
CDC_B11224	12360384	1335444813	108.04
CDC_B11225	12360384	1414979715	114.48
CDC_B11226	12360384	1154800445	93.43
CDC_B11227	12360384	1550773386	125.46
CDC_B11228	12360384	1730510147	140.00
CDC_B11229	12360384	1603509206	129.73
CDC_B11230	12360384	1228283287	99.37
CDC_B11243	12360384	1123394522	90.89
CDC_B11244	12360384	1427009383	115.45
CDC_B11245	12360384	1410531302	114.12
CDC_B11246	12360384	1254296606	101.48
CDC_B11247	12360384	1762396227	142.58
